Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-74.12358407,2,1,2,1,1
45000.09999,-74.12261847,2,1,2,1,1
45000.14999,-74.12165039,2,1,2,1,1
45000.19999,-74.12067983,2,1,2,1,1
45000.24999,-74.11970681,2,1,2,1,1
45000.29999,-74.11873134,2,1,2,1,1
45000.34999,-74.11775342,2,1,2,1,1
45000.39999,-74.11677306,2,1,2,1,1
45000.44999,-74.11579028,2,1,2,1,1
45000.49999,-74.11480508,2,1,2,1,1
45000.54999,-74.11381747,2,1,2,1,1
45000.59999,-74.11282746,2,1,2,1,1
45000.64999,-74.11183507,2,1,2,1,1
45000.69999,-74.11084029,2,1,2,1,1
45000.74999,-74.10984314,2,1,2,1,1
45000.79999,-74.10884363,2,1,2,1,1
45000.84999,-74.10784177,2,1,2,1,1
45000.89999,-74.10683757,2,1,2,1,1
45000.94999,-74.10583102,2,1,2,1,1
45000.99999,-74.10482215,2,1,2,1,1
45001.04999,-74.10381097,2,1,2,1,1
45001.09999,-74.10279747,2,1,2,1,1
45001.14999,-74.10178168,2,1,2,1,1
45001.19999,-74.10076359,2,1,2,1,1
45001.24999,-74.09974322,2,1,2,1,1
45001.29999,-74.09872058,2,1,2,1,1
45001.34999,-74.09769567,2,1,2,1,1
45001.39999,-74.09666851,2,1,2,1,1
45001.44999,-74.0956391,2,1,2,1,1
45001.49999,-74.09460745,2,1,2,1,1
45001.54999,-74.09357356,2,1,2,1,1
45001.59999,-74.09253746,2,1,2,1,1
45001.64999,-74.09149914,2,1,2,1,1
45001.69999,-74.09045861,2,1,2,1,1
45001.74999,-74.08941588,2,1,2,1,1
45001.79999,-74.08837097,2,1,2,1,1
45001.84999,-74.08732388,2,1,2,1,1
45001.89999,-74.08627461,2,1,2,1,1
45001.94999,-74.08522317,2,1,2,1,1
45001.99999,-74.08416958,2,1,2,1,1
45002.04999,-74.08311385,2,1,2,1,1
45002.09999,-74.08205597,2,1,2,1,1
45002.14999,-74.08099595,2,1,2,1,1
45002.19999,-74.07993382,2,1,2,1,1
45002.24999,-74.07886956,2,1,2,1,1
45002.29999,-74.0778032,2,1,2,1,1
45002.34999,-74.07673474,2,1,2,1,1
45002.39999,-74.07566418,2,1,2,1,1
45002.44999,-74.07459154,2,1,2,1,1
45002.49999,-74.07351682,2,1,2,1,1
45002.54999,-74.07244003,2,1,2,1,1
45002.59999,-74.07136118,2,1,2,1,1
45002.64999,-74.07028027,2,1,2,1,1
45002.69999,-74.06919732,2,1,2,1,1
45002.74999,-74.06811233,2,1,2,1,1
45002.79999,-74.0670253,2,1,2,1,1
45002.84999,-74.06593626,2,1,2,1,1
45002.89999,-74.06484519,2,1,2,1,1
45002.94999,-74.06375212,2,1,2,1,1
45002.99999,-74.06265704,2,1,2,1,1
45003.04999,-74.06155997,2,1,2,1,1
45003.09999,-74.06046091,2,1,2,1,1
45003.14999,-74.05935988,2,1,2,1,1
45003.19999,-74.05825687,2,1,2,1,1
45003.24999,-74.05715189,2,1,2,1,1
45003.29999,-74.05604496,2,1,2,1,1
45003.34999,-74.05493607,2,1,2,1,1
45003.39999,-74.05382524,2,1,2,1,1
45003.44999,-74.05271248,2,1,2,1,1
45003.49999,-74.05159779,2,1,2,1,1
45003.54999,-74.05048117,2,1,2,1,1
45003.59999,-74.04936264,2,1,2,1,1
45003.64999,-74.0482422,2,1,2,1,1
45003.69999,-74.04711986,2,1,2,1,1
45003.74999,-74.04599562,2,1,2,1,1
45003.79999,-74.0448695,2,1,2,1,1
45003.84999,-74.04374149,2,1,2,1,1
45003.89999,-74.04261162,2,1,2,1,1
45003.94999,-74.04147987,2,1,2,1,1
45003.99999,-74.04034627,2,1,2,1,1
45004.04999,-74.03921081,2,1,2,1,1
45004.09999,-74.0380735,2,1,2,1,1
45004.14999,-74.03693436,2,1,2,1,1
45004.19999,-74.03579338,2,1,2,1,1
45004.24999,-74.03465058,2,1,2,1,1
45004.29999,-74.03350595,2,1,2,1,1
45004.34999,-74.03235951,2,1,2,1,1
45004.39999,-74.03121127,2,1,2,1,1
45004.44999,-74.03006122,2,1,2,1,1
45004.49999,-74.02890938,2,1,2,1,1
45004.54999,-74.02775576,2,1,2,1,1
45004.59999,-74.02660035,2,1,2,1,1
45004.64999,-74.02544317,2,1,2,1,1
45004.69999,-74.02428422,2,1,2,1,1
45004.74999,-74.0231235,2,1,2,1,1
45004.79999,-74.02196104,2,1,2,1,1
45004.84999,-74.02079682,2,1,2,1,1
45004.89999,-74.01963086,2,1,2,1,1
45004.94999,-74.01846316,2,1,2,1,1
45004.99999,-74.01729374,2,1,2,1,1
45005.04999,-74.01612259,2,1,2,1,1
45005.09999,-74.01494972,2,1,2,1,1
45005.14999,-74.01377514,2,1,2,1,1
45005.19999,-74.01259885,2,1,2,1,1
45005.24999,-74.01142087,2,1,2,1,1
45005.29999,-74.01024119,2,1,2,1,1
45005.34999,-74.00905982,2,1,2,1,1
45005.39999,-74.00787677,2,1,2,1,1
45005.44999,-74.00669205,2,1,2,1,1
