Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,8.697586145,1,1,1.8,1.8,1
45000.09999,8.680668521,1,1,1.8,1.8,1
45000.14999,8.663736123,1,1,1.8,1.8,1
45000.19999,8.646788907,1,1,1.8,1.8,1
45000.24999,8.629826826,1,1,1.8,1.8,1
45000.29999,8.612849836,1,1,1.8,1.8,1
45000.34999,8.59585789,1,1,1.8,1.8,1
45000.39999,8.578850942,1,1,1.8,1.8,1
45000.44999,8.561828945,1,1,1.8,1.8,1
45000.49999,8.544791853,1,1,1.8,1.8,1
45000.54999,8.52773962,1,1,1.8,1.8,1
45000.59999,8.510672198,1,1,1.8,1.8,1
45000.64999,8.49358954,1,1,1.8,1.8,1
45000.69999,8.4764916,1,1,1.8,1.8,1
45000.74999,8.459378329,1,1,1.8,1.8,1
45000.79999,8.442249681,1,1,1.8,1.8,1
45000.84999,8.425105607,1,1,1.8,1.8,1
45000.89999,8.40794606,1,1,1.8,1.8,1
45000.94999,8.39077099,1,1,1.8,1.8,1
45000.99999,8.373580351,1,1,1.8,1.8,1
45001.04999,8.356374093,1,1,1.8,1.8,1
45001.09999,8.339152167,1,1,1.8,1.8,1
45001.14999,8.321914525,1,1,1.8,1.8,1
45001.19999,8.304661118,1,1,1.8,1.8,1
45001.24999,8.287391895,1,1,1.8,1.8,1
45001.29999,8.270106809,1,1,1.8,1.8,1
45001.34999,8.252805808,1,1,1.8,1.8,1
45001.39999,8.235488844,1,1,1.8,1.8,1
45001.44999,8.218155865,1,1,1.8,1.8,1
45001.49999,8.200806821,1,1,1.8,1.8,1
45001.54999,8.183441663,1,1,1.8,1.8,1
45001.59999,8.166060339,1,1,1.8,1.8,1
45001.64999,8.148662798,1,1,1.8,1.8,1
45001.69999,8.13124899,1,1,1.8,1.8,1
45001.74999,8.113818862,1,1,1.8,1.8,1
45001.79999,8.096372363,1,1,1.8,1.8,1
45001.84999,8.078909442,1,1,1.8,1.8,1
45001.89999,8.061430046,1,1,1.8,1.8,1
45001.94999,8.043934124,1,1,1.8,1.8,1
45001.99999,8.026421622,1,1,1.8,1.8,1
45002.04999,8.008892489,1,1,1.8,1.8,1
45002.09999,7.99134667,1,1,1.8,1.8,1
45002.14999,7.973784114,1,1,1.8,1.8,1
45002.19999,7.956204767,1,1,1.8,1.8,1
45002.24999,7.938608575,1,1,1.8,1.8,1
45002.29999,7.920995485,1,1,1.8,1.8,1
45002.34999,7.903365442,1,1,1.8,1.8,1
45002.39999,7.885718393,1,1,1.8,1.8,1
45002.44999,7.868054283,1,1,1.8,1.8,1
45002.49999,7.850373057,1,1,1.8,1.8,1
45002.54999,7.832674661,1,1,1.8,1.8,1
45002.59999,7.814959039,1,1,1.8,1.8,1
45002.64999,7.797226136,1,1,1.8,1.8,1
45002.69999,7.779475896,1,1,1.8,1.8,1
45002.74999,7.761708264,1,1,1.8,1.8,1
45002.79999,7.743923184,1,1,1.8,1.8,1
45002.84999,7.726120598,1,1,1.8,1.8,1
45002.89999,7.708300452,1,1,1.8,1.8,1
45002.94999,7.690462687,1,1,1.8,1.8,1
45002.99999,7.672607247,1,1,1.8,1.8,1
45003.04999,7.654734075,1,1,1.8,1.8,1
45003.09999,7.636843113,1,1,1.8,1.8,1
45003.14999,7.618934303,1,1,1.8,1.8,1
45003.19999,7.601007588,1,1,1.8,1.8,1
45003.24999,7.583062908,1,1,1.8,1.8,1
45003.29999,7.565100206,1,1,1.8,1.8,1
45003.34999,7.547119423,1,1,1.8,1.8,1
45003.39999,7.5291205,1,1,1.8,1.8,1
45003.44999,7.511103377,1,1,1.8,1.8,1
45003.49999,7.493067995,1,1,1.8,1.8,1
45003.54999,7.475014294,1,1,1.8,1.8,1
45003.59999,7.456942215,1,1,1.8,1.8,1
45003.64999,7.438851696,1,1,1.8,1.8,1
45003.69999,7.420742677,1,1,1.8,1.8,1
45003.74999,7.402615098,1,1,1.8,1.8,1
45003.79999,7.384468897,1,1,1.8,1.8,1
45003.84999,7.366304012,1,1,1.8,1.8,1
45003.89999,7.348120383,1,1,1.8,1.8,1
45003.94999,7.329917948,1,1,1.8,1.8,1
45003.99999,7.311696643,1,1,1.8,1.8,1
45004.04999,7.293456407,1,1,1.8,1.8,1
45004.09999,7.275197177,1,1,1.8,1.8,1
45004.14999,7.256918889,1,1,1.8,1.8,1
45004.19999,7.238621482,1,1,1.8,1.8,1
