Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,15.1622668,1.6,1,1.6,1.6,1
45000.09999,15.14804489,1.6,1,1.6,1.6,1
45000.14999,15.13381591,1.6,1,1.6,1.6,1
45000.19999,15.11957987,1.6,1,1.6,1.6,1
45000.24999,15.10533676,1.6,1,1.6,1.6,1
45000.29999,15.09108655,1.6,1,1.6,1.6,1
45000.34999,15.07682925,1.6,1,1.6,1.6,1
45000.39999,15.06256485,1.6,1,1.6,1.6,1
45000.44999,15.04829334,1.6,1,1.6,1.6,1
45000.49999,15.0340147,1.6,1,1.6,1.6,1
45000.54999,15.01972893,1.6,1,1.6,1.6,1
45000.59999,15.00543603,1.6,1,1.6,1.6,1
45000.64999,14.99113597,1.6,1,1.6,1.6,1
45000.69999,14.97682875,1.6,1,1.6,1.6,1
45000.74999,14.96251437,1.6,1,1.6,1.6,1
45000.79999,14.94819281,1.6,1,1.6,1.6,1
45000.84999,14.93386407,1.6,1,1.6,1.6,1
45000.89999,14.91952812,1.6,1,1.6,1.6,1
45000.94999,14.90518498,1.6,1,1.6,1.6,1
45000.99999,14.89083462,1.6,1,1.6,1.6,1
45001.04999,14.87647703,1.6,1,1.6,1.6,1
45001.09999,14.86211221,1.6,1,1.6,1.6,1
45001.14999,14.84774015,1.6,1,1.6,1.6,1
45001.19999,14.83336084,1.6,1,1.6,1.6,1
45001.24999,14.81897427,1.6,1,1.6,1.6,1
45001.29999,14.80458042,1.6,1,1.6,1.6,1
45001.34999,14.7901793,1.6,1,1.6,1.6,1
45001.39999,14.77577088,1.6,1,1.6,1.6,1
45001.44999,14.76135517,1.6,1,1.6,1.6,1
45001.49999,14.74693214,1.6,1,1.6,1.6,1
45001.54999,14.7325018,1.6,1,1.6,1.6,1
45001.59999,14.71806413,1.6,1,1.6,1.6,1
45001.64999,14.70361912,1.6,1,1.6,1.6,1
45001.69999,14.68916676,1.6,1,1.6,1.6,1
45001.74999,14.67470704,1.6,1,1.6,1.6,1
45001.79999,14.66023995,1.6,1,1.6,1.6,1
45001.84999,14.64576549,1.6,1,1.6,1.6,1
45001.89999,14.63128363,1.6,1,1.6,1.6,1
45001.94999,14.61679438,1.6,1,1.6,1.6,1
45001.99999,14.60229772,1.6,1,1.6,1.6,1
45002.04999,14.58779365,1.6,1,1.6,1.6,1
45002.09999,14.57328214,1.6,1,1.6,1.6,1
45002.14999,14.5587632,1.6,1,1.6,1.6,1
45002.19999,14.54423681,1.6,1,1.6,1.6,1
45002.24999,14.52970296,1.6,1,1.6,1.6,1
45002.29999,14.51516164,1.6,1,1.6,1.6,1
45002.34999,14.50061284,1.6,1,1.6,1.6,1
45002.39999,14.48605656,1.6,1,1.6,1.6,1
45002.44999,14.47149277,1.6,1,1.6,1.6,1
45002.49999,14.45692147,1.6,1,1.6,1.6,1
45002.54999,14.44234266,1.6,1,1.6,1.6,1
45002.59999,14.42775631,1.6,1,1.6,1.6,1
45002.64999,14.41316242,1.6,1,1.6,1.6,1
45002.69999,14.39856098,1.6,1,1.6,1.6,1
45002.74999,14.38395198,1.6,1,1.6,1.6,1
45002.79999,14.3693354,1.6,1,1.6,1.6,1
45002.84999,14.35471124,1.6,1,1.6,1.6,1
45002.89999,14.34007949,1.6,1,1.6,1.6,1
45002.94999,14.32544013,1.6,1,1.6,1.6,1
45002.99999,14.31079315,1.6,1,1.6,1.6,1
45003.04999,14.29613855,1.6,1,1.6,1.6,1
45003.09999,14.28147631,1.6,1,1.6,1.6,1
45003.14999,14.26680643,1.6,1,1.6,1.6,1
45003.19999,14.25212888,1.6,1,1.6,1.6,1
45003.24999,14.23744366,1.6,1,1.6,1.6,1
45003.29999,14.22275077,1.6,1,1.6,1.6,1
45003.34999,14.20805018,1.6,1,1.6,1.6,1
45003.39999,14.19334188,1.6,1,1.6,1.6,1
45003.44999,14.17862587,1.6,1,1.6,1.6,1
45003.49999,14.16390214,1.6,1,1.6,1.6,1
45003.54999,14.14917067,1.6,1,1.6,1.6,1
45003.59999,14.13443145,1.6,1,1.6,1.6,1
45003.64999,14.11968447,1.6,1,1.6,1.6,1
45003.69999,14.10492972,1.6,1,1.6,1.6,1
45003.74999,14.09016719,1.6,1,1.6,1.6,1
45003.79999,14.07539686,1.6,1,1.6,1.6,1
45003.84999,14.06061873,1.6,1,1.6,1.6,1
45003.89999,14.04583278,1.6,1,1.6,1.6,1
45003.94999,14.03103901,1.6,1,1.6,1.6,1
45003.99999,14.01623739,1.6,1,1.6,1.6,1
45004.04999,14.00142792,1.6,1,1.6,1.6,1
45004.09999,13.98661059,1.6,1,1.6,1.6,1
45004.14999,13.97178538,1.6,1,1.6,1.6,1
45004.19999,13.95695228,1.6,1,1.6,1.6,1
45004.24999,13.94211129,1.6,1,1.6,1.6,1
45004.29999,13.92726238,1.6,1,1.6,1.6,1
45004.34999,13.91240556,1.6,1,1.6,1.6,1
45004.39999,13.89754079,1.6,1,1.6,1.6,1
45004.44999,13.88266808,1.6,1,1.6,1.6,1
45004.49999,13.86778741,1.6,1,1.6,1.6,1
45004.54999,13.85289877,1.6,1,1.6,1.6,1
45004.59999,13.83800214,1.6,1,1.6,1.6,1
45004.64999,13.82309752,1.6,1,1.6,1.6,1
45004.69999,13.80818489,1.6,1,1.6,1.6,1
45004.74999,13.79326424,1.6,1,1.6,1.6,1
45004.79999,13.77833556,1.6,1,1.6,1.6,1
45004.84999,13.76339883,1.6,1,1.6,1.6,1
45004.89999,13.74845404,1.6,1,1.6,1.6,1
45004.94999,13.73350118,1.6,1,1.6,1.6,1
45004.99999,13.71854023,1.6,1,1.6,1.6,1
45005.04999,13.70357119,1.6,1,1.6,1.6,1
45005.09999,13.68859405,1.6,1,1.6,1.6,1
45005.14999,13.67360877,1.6,1,1.6,1.6,1
45005.19999,13.65861537,1.6,1,1.6,1.6,1
45005.24999,13.64361382,1.6,1,1.6,1.6,1
45005.29999,13.6286041,1.6,1,1.6,1.6,1
45005.34999,13.61358621,1.6,1,1.6,1.6,1
45005.39999,13.59856014,1.6,1,1.6,1.6,1
45005.44999,13.58352586,1.6,1,1.6,1.6,1
45005.49999,13.56848337,1.6,1,1.6,1.6,1
45005.54999,13.55343266,1.6,1,1.6,1.6,1
45005.59999,13.5383737,1.6,1,1.6,1.6,1
45005.64999,13.5233065,1.6,1,1.6,1.6,1
45005.69999,13.50823102,1.6,1,1.6,1.6,1
45005.74999,13.49314727,1.6,1,1.6,1.6,1
45005.79999,13.47805522,1.6,1,1.6,1.6,1
45005.84999,13.46295486,1.6,1,1.6,1.6,1
45005.89999,13.44784618,1.6,1,1.6,1.6,1
45005.94999,13.43272917,1.6,1,1.6,1.6,1
45005.99999,13.4176038,1.6,1,1.6,1.6,1
45006.04999,13.40247008,1.6,1,1.6,1.6,1
45006.09999,13.38732798,1.6,1,1.6,1.6,1
45006.14999,13.37217749,1.6,1,1.6,1.6,1
45006.19999,13.35701859,1.6,1,1.6,1.6,1
45006.24999,13.34185127,1.6,1,1.6,1.6,1
45006.29999,13.32667552,1.6,1,1.6,1.6,1
45006.34999,13.31149133,1.6,1,1.6,1.6,1
45006.39999,13.29629867,1.6,1,1.6,1.6,1
45006.44999,13.28109754,1.6,1,1.6,1.6,1
45006.49999,13.26588791,1.6,1,1.6,1.6,1
45006.54999,13.25066979,1.6,1,1.6,1.6,1
45006.59999,13.23544314,1.6,1,1.6,1.6,1
45006.64999,13.22020796,1.6,1,1.6,1.6,1
45006.69999,13.20496422,1.6,1,1.6,1.6,1
45006.74999,13.18971193,1.6,1,1.6,1.6,1
45006.79999,13.17445106,1.6,1,1.6,1.6,1
45006.84999,13.15918159,1.6,1,1.6,1.6,1
45006.89999,13.14390352,1.6,1,1.6,1.6,1
45006.94999,13.12861682,1.6,1,1.6,1.6,1
45006.99999,13.11332148,1.6,1,1.6,1.6,1
45007.04999,13.09801749,1.6,1,1.6,1.6,1
45007.09999,13.08270484,1.6,1,1.6,1.6,1
45007.14999,13.06738349,1.6,1,1.6,1.6,1
45007.19999,13.05205345,1.6,1,1.6,1.6,1
45007.24999,13.03671469,1.6,1,1.6,1.6,1
45007.29999,13.02136721,1.6,1,1.6,1.6,1
45007.34999,13.00601097,1.6,1,1.6,1.6,1
45007.39999,12.99064598,1.6,1,1.6,1.6,1
45007.44999,12.97527221,1.6,1,1.6,1.6,1
45007.49999,12.95988964,1.6,1,1.6,1.6,1
