Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-66.95730588,1,1.2,1,1,1.2
45000.09999,-66.95520871,1,1.2,1,1,1.2
45000.14999,-66.95311037,1,1.2,1,1,1.2
45000.19999,-66.95101085,1,1.2,1,1,1.2
45000.24999,-66.94891014,1,1.2,1,1,1.2
45000.29999,-66.94680826,1,1.2,1,1,1.2
45000.34999,-66.94470519,1,1.2,1,1,1.2
45000.39999,-66.94260094,1,1.2,1,1,1.2
45000.44999,-66.94049549,1,1.2,1,1,1.2
45000.49999,-66.93838885,1,1.2,1,1,1.2
45000.54999,-66.93628102,1,1.2,1,1,1.2
45000.59999,-66.93417199,1,1.2,1,1,1.2
45000.64999,-66.93206175,1,1.2,1,1,1.2
45000.69999,-66.92995031,1,1.2,1,1,1.2
45000.74999,-66.92783766,1,1.2,1,1,1.2
45000.79999,-66.9257238,1,1.2,1,1,1.2
45000.84999,-66.92360873,1,1.2,1,1,1.2
45000.89999,-66.92149244,1,1.2,1,1,1.2
45000.94999,-66.91937493,1,1.2,1,1,1.2
45000.99999,-66.9172562,1,1.2,1,1,1.2
45001.04999,-66.91513624,1,1.2,1,1,1.2
45001.09999,-66.91301506,1,1.2,1,1,1.2
45001.14999,-66.91089264,1,1.2,1,1,1.2
45001.19999,-66.90876899,1,1.2,1,1,1.2
45001.24999,-66.90664411,1,1.2,1,1,1.2
45001.29999,-66.90451798,1,1.2,1,1,1.2
45001.34999,-66.90239061,1,1.2,1,1,1.2
45001.39999,-66.90026199,1,1.2,1,1,1.2
45001.44999,-66.89813212,1,1.2,1,1,1.2
45001.49999,-66.89600101,1,1.2,1,1,1.2
45001.54999,-66.89386863,1,1.2,1,1,1.2
45001.59999,-66.891735,1,1.2,1,1,1.2
45001.64999,-66.88960011,1,1.2,1,1,1.2
45001.69999,-66.88746395,1,1.2,1,1,1.2
45001.74999,-66.88532652,1,1.2,1,1,1.2
45001.79999,-66.88318782,1,1.2,1,1,1.2
45001.84999,-66.88104785,1,1.2,1,1,1.2
45001.89999,-66.8789066,1,1.2,1,1,1.2
45001.94999,-66.87676408,1,1.2,1,1,1.2
45001.99999,-66.87462026,1,1.2,1,1,1.2
45002.04999,-66.87247517,1,1.2,1,1,1.2
45002.09999,-66.87032878,1,1.2,1,1,1.2
45002.14999,-66.8681811,1,1.2,1,1,1.2
45002.19999,-66.86603212,1,1.2,1,1,1.2
45002.24999,-66.86388185,1,1.2,1,1,1.2
45002.29999,-66.86173027,1,1.2,1,1,1.2
45002.34999,-66.85957739,1,1.2,1,1,1.2
45002.39999,-66.85742319,1,1.2,1,1,1.2
45002.44999,-66.85526769,1,1.2,1,1,1.2
45002.49999,-66.85311087,1,1.2,1,1,1.2
45002.54999,-66.85095273,1,1.2,1,1,1.2
45002.59999,-66.84879328,1,1.2,1,1,1.2
45002.64999,-66.84663249,1,1.2,1,1,1.2
45002.69999,-66.84447038,1,1.2,1,1,1.2
45002.74999,-66.84230694,1,1.2,1,1,1.2
45002.79999,-66.84014216,1,1.2,1,1,1.2
45002.84999,-66.83797604,1,1.2,1,1,1.2
45002.89999,-66.83580858,1,1.2,1,1,1.2
45002.94999,-66.83363978,1,1.2,1,1,1.2
45002.99999,-66.83146963,1,1.2,1,1,1.2
45003.04999,-66.82929813,1,1.2,1,1,1.2
45003.09999,-66.82712527,1,1.2,1,1,1.2
45003.14999,-66.82495106,1,1.2,1,1,1.2
45003.19999,-66.82277548,1,1.2,1,1,1.2
45003.24999,-66.82059854,1,1.2,1,1,1.2
45003.29999,-66.81842023,1,1.2,1,1,1.2
45003.34999,-66.81624055,1,1.2,1,1,1.2
45003.39999,-66.81405949,1,1.2,1,1,1.2
45003.44999,-66.81187706,1,1.2,1,1,1.2
45003.49999,-66.80969324,1,1.2,1,1,1.2
45003.54999,-66.80750804,1,1.2,1,1,1.2
45003.59999,-66.80532145,1,1.2,1,1,1.2
45003.64999,-66.80313346,1,1.2,1,1,1.2
45003.69999,-66.80094408,1,1.2,1,1,1.2
45003.74999,-66.7987533,1,1.2,1,1,1.2
