Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-64.99952379,1,1,1,1,1
45000.09999,-64.99544679,1,1,1,1,1
45000.14999,-64.99136248,1,1,1,1,1
45000.19999,-64.98727081,1,1,1,1,1
45000.24999,-64.98317177,1,1,1,1,1
45000.29999,-64.97906532,1,1,1,1,1
45000.34999,-64.97495142,1,1,1,1,1
45000.39999,-64.97083004,1,1,1,1,1
45000.44999,-64.96670115,1,1,1,1,1
45000.49999,-64.96256471,1,1,1,1,1
45000.54999,-64.95842069,1,1,1,1,1
45000.59999,-64.95426905,1,1,1,1,1
45000.64999,-64.95010977,1,1,1,1,1
45000.69999,-64.9459428,1,1,1,1,1
45000.74999,-64.94176812,1,1,1,1,1
45000.79999,-64.93758568,1,1,1,1,1
45000.84999,-64.93339545,1,1,1,1,1
45000.89999,-64.9291974,1,1,1,1,1
45000.94999,-64.92499149,1,1,1,1,1
45000.99999,-64.92077768,1,1,1,1,1
45001.04999,-64.91655594,1,1,1,1,1
45001.09999,-64.91232623,1,1,1,1,1
45001.14999,-64.90808852,1,1,1,1,1
45001.19999,-64.90384276,1,1,1,1,1
45001.24999,-64.89958893,1,1,1,1,1
45001.29999,-64.89532698,1,1,1,1,1
45001.34999,-64.89105687,1,1,1,1,1
45001.39999,-64.88677857,1,1,1,1,1
45001.44999,-64.88249204,1,1,1,1,1
45001.49999,-64.87819724,1,1,1,1,1
45001.54999,-64.87389414,1,1,1,1,1
45001.59999,-64.86958269,1,1,1,1,1
45001.64999,-64.86526285,1,1,1,1,1
45001.69999,-64.86093459,1,1,1,1,1
45001.74999,-64.85659786,1,1,1,1,1
45001.79999,-64.85225263,1,1,1,1,1
45001.84999,-64.84789886,1,1,1,1,1
45001.89999,-64.8435365,1,1,1,1,1
45001.94999,-64.83916552,1,1,1,1,1
45001.99999,-64.83478586,1,1,1,1,1
45002.04999,-64.83039751,1,1,1,1,1
45002.09999,-64.8260004,1,1,1,1,1
45002.14999,-64.8215945,1,1,1,1,1
45002.19999,-64.81717977,1,1,1,1,1
45002.24999,-64.81275616,1,1,1,1,1
45002.29999,-64.80832363,1,1,1,1,1
45002.34999,-64.80388214,1,1,1,1,1
45002.39999,-64.79943165,1,1,1,1,1
45002.44999,-64.79497211,1,1,1,1,1
45002.49999,-64.79050348,1,1,1,1,1
45002.54999,-64.78602571,1,1,1,1,1
45002.59999,-64.78153876,1,1,1,1,1
45002.64999,-64.77704259,1,1,1,1,1
45002.69999,-64.77253714,1,1,1,1,1
45002.74999,-64.76802238,1,1,1,1,1
45002.79999,-64.76349826,1,1,1,1,1
45002.84999,-64.75896473,1,1,1,1,1
45002.89999,-64.75442175,1,1,1,1,1
45002.94999,-64.74986927,1,1,1,1,1
45002.99999,-64.74530724,1,1,1,1,1
45003.04999,-64.74073562,1,1,1,1,1
45003.09999,-64.73615435,1,1,1,1,1
45003.14999,-64.7315634,1,1,1,1,1
45003.19999,-64.7269627,1,1,1,1,1
45003.24999,-64.72235222,1,1,1,1,1
45003.29999,-64.7177319,1,1,1,1,1
45003.34999,-64.7131017,1,1,1,1,1
45003.39999,-64.70846157,1,1,1,1,1
45003.44999,-64.70381144,1,1,1,1,1
45003.49999,-64.69915129,1,1,1,1,1
45003.54999,-64.69448104,1,1,1,1,1
45003.59999,-64.68980066,1,1,1,1,1
45003.64999,-64.6851101,1,1,1,1,1
45003.69999,-64.68040929,1,1,1,1,1
45003.74999,-64.67569819,1,1,1,1,1
45003.79999,-64.67097674,1,1,1,1,1
