Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-50.67347648,0.2,0.2,1,1,1
45000.09999,-50.67347625,0.2,0.2,1,1,1
45000.14999,-50.67347602,0.2,0.2,1,1,1
45000.19999,-50.67347579,0.2,0.2,1,1,1
45000.24999,-50.67347557,0.2,0.2,1,1,1
45000.29999,-50.67347534,0.2,0.2,1,1,1
45000.34999,-50.67347511,0.2,0.2,1,1,1
45000.39999,-50.67347488,0.2,0.2,1,1,1
45000.44999,-50.67347466,0.2,0.2,1,1,1
45000.49999,-50.67347443,0.2,0.2,1,1,1
45000.54999,-50.6734742,0.2,0.2,1,1,1
45000.59999,-50.67347397,0.2,0.2,1,1,1
45000.64999,-50.67347375,0.2,0.2,1,1,1
45000.69999,-50.67347352,0.2,0.2,1,1,1
45000.74999,-50.67347329,0.2,0.2,1,1,1
45000.79999,-50.67347306,0.2,0.2,1,1,1
45000.84999,-50.67347284,0.2,0.2,1,1,1
45000.89999,-50.67347261,0.2,0.2,1,1,1
45000.94999,-50.67347238,0.2,0.2,1,1,1
45000.99999,-50.67347215,0.2,0.2,1,1,1
45001.04999,-50.67347193,0.2,0.2,1,1,1
45001.09999,-50.6734717,0.2,0.2,1,1,1
45001.14999,-50.67347147,0.2,0.2,1,1,1
45001.19999,-50.67347125,0.2,0.2,1,1,1
45001.24999,-50.67347102,0.2,0.2,1,1,1
45001.29999,-50.67347079,0.2,0.2,1,1,1
45001.34999,-50.67347056,0.2,0.2,1,1,1
45001.39999,-50.67347034,0.2,0.2,1,1,1
45001.44999,-50.67347011,0.2,0.2,1,1,1
45001.49999,-50.67346988,0.2,0.2,1,1,1
45001.54999,-50.67346965,0.2,0.2,1,1,1
45001.59999,-50.67346943,0.2,0.2,1,1,1
45001.64999,-50.6734692,0.2,0.2,1,1,1
45001.69999,-50.67346897,0.2,0.2,1,1,1
45001.74999,-50.67346874,0.2,0.2,1,1,1
45001.79999,-50.67346852,0.2,0.2,1,1,1
45001.84999,-50.67346829,0.2,0.2,1,1,1
45001.89999,-50.67346806,0.2,0.2,1,1,1
45001.94999,-50.67346783,0.2,0.2,1,1,1
45001.99999,-50.67346761,0.2,0.2,1,1,1
45002.04999,-50.67346738,0.2,0.2,1,1,1
45002.09999,-50.67346715,0.2,0.2,1,1,1
45002.14999,-50.67346692,0.2,0.2,1,1,1
45002.19999,-50.6734667,0.2,0.2,1,1,1
45002.24999,-50.67346647,0.2,0.2,1,1,1
45002.29999,-50.67346624,0.2,0.2,1,1,1
45002.34999,-50.67346602,0.2,0.2,1,1,1
45002.39999,-50.67346579,0.2,0.2,1,1,1
45002.44999,-50.67346556,0.2,0.2,1,1,1
45002.49999,-50.67346533,0.2,0.2,1,1,1
45002.54999,-50.67346511,0.2,0.2,1,1,1
45002.59999,-50.67346488,0.2,0.2,1,1,1
45002.64999,-50.67346465,0.2,0.2,1,1,1
45002.69999,-50.67346442,0.2,0.2,1,1,1
45002.74999,-50.6734642,0.2,0.2,1,1,1
45002.79999,-50.67346397,0.2,0.2,1,1,1
45002.84999,-50.67346374,0.2,0.2,1,1,1
45002.89999,-50.67346351,0.2,0.2,1,1,1
45002.94999,-50.67346329,0.2,0.2,1,1,1
45002.99999,-50.67346306,0.2,0.2,1,1,1
45003.04999,-50.67346283,0.2,0.2,1,1,1
45003.09999,-50.6734626,0.2,0.2,1,1,1
45003.14999,-50.67346238,0.2,0.2,1,1,1
45003.19999,-50.67346215,0.2,0.2,1,1,1
45003.24999,-50.67346192,0.2,0.2,1,1,1
45003.29999,-50.6734617,0.2,0.2,1,1,1
45003.34999,-50.67346147,0.2,0.2,1,1,1
45003.39999,-50.67346124,0.2,0.2,1,1,1
45003.44999,-50.67346101,0.2,0.2,1,1,1
45003.49999,-50.67346079,0.2,0.2,1,1,1
45003.54999,-50.67346056,0.2,0.2,1,1,1
45003.59999,-50.67346033,0.2,0.2,1,1,1
45003.64999,-50.6734601,0.2,0.2,1,1,1
45003.69999,-50.67345988,0.2,0.2,1,1,1
45003.74999,-50.67345965,0.2,0.2,1,1,1
45003.79999,-50.67345942,0.2,0.2,1,1,1
45003.84999,-50.67345919,0.2,0.2,1,1,1
45003.89999,-50.67345897,0.2,0.2,1,1,1
45003.94999,-50.67345874,0.2,0.2,1,1,1
