Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-54.85301226,0.6,0.6,0.6,1,0.6
45000.09999,-54.85301253,0.6,0.6,0.6,1,0.6
45000.14999,-54.8530128,0.6,0.6,0.6,1,0.6
45000.19999,-54.85301307,0.6,0.6,0.6,1,0.6
45000.24999,-54.85301334,0.6,0.6,0.6,1,0.6
45000.29999,-54.85301361,0.6,0.6,0.6,1,0.6
45000.34999,-54.85301387,0.6,0.6,0.6,1,0.6
45000.39999,-54.85301414,0.6,0.6,0.6,1,0.6
45000.44999,-54.85301441,0.6,0.6,0.6,1,0.6
45000.49999,-54.85301468,0.6,0.6,0.6,1,0.6
45000.54999,-54.85301495,0.6,0.6,0.6,1,0.6
45000.59999,-54.85301522,0.6,0.6,0.6,1,0.6
45000.64999,-54.85301548,0.6,0.6,0.6,1,0.6
45000.69999,-54.85301575,0.6,0.6,0.6,1,0.6
45000.74999,-54.85301602,0.6,0.6,0.6,1,0.6
45000.79999,-54.85301629,0.6,0.6,0.6,1,0.6
45000.84999,-54.85301656,0.6,0.6,0.6,1,0.6
45000.89999,-54.85301683,0.6,0.6,0.6,1,0.6
45000.94999,-54.8530171,0.6,0.6,0.6,1,0.6
45000.99999,-54.85301736,0.6,0.6,0.6,1,0.6
45001.04999,-54.85301763,0.6,0.6,0.6,1,0.6
45001.09999,-54.8530179,0.6,0.6,0.6,1,0.6
45001.14999,-54.85301817,0.6,0.6,0.6,1,0.6
45001.19999,-54.85301844,0.6,0.6,0.6,1,0.6
45001.24999,-54.85301871,0.6,0.6,0.6,1,0.6
45001.29999,-54.85301898,0.6,0.6,0.6,1,0.6
45001.34999,-54.85301924,0.6,0.6,0.6,1,0.6
45001.39999,-54.85301951,0.6,0.6,0.6,1,0.6
45001.44999,-54.85301978,0.6,0.6,0.6,1,0.6
45001.49999,-54.85302005,0.6,0.6,0.6,1,0.6
45001.54999,-54.85302032,0.6,0.6,0.6,1,0.6
45001.59999,-54.85302059,0.6,0.6,0.6,1,0.6
45001.64999,-54.85302085,0.6,0.6,0.6,1,0.6
45001.69999,-54.85302112,0.6,0.6,0.6,1,0.6
45001.74999,-54.85302139,0.6,0.6,0.6,1,0.6
45001.79999,-54.85302166,0.6,0.6,0.6,1,0.6
45001.84999,-54.85302193,0.6,0.6,0.6,1,0.6
45001.89999,-54.8530222,0.6,0.6,0.6,1,0.6
45001.94999,-54.85302247,0.6,0.6,0.6,1,0.6
45001.99999,-54.85302273,0.6,0.6,0.6,1,0.6
45002.04999,-54.853023,0.6,0.6,0.6,1,0.6
45002.09999,-54.85302327,0.6,0.6,0.6,1,0.6
45002.14999,-54.85302354,0.6,0.6,0.6,1,0.6
45002.19999,-54.85302381,0.6,0.6,0.6,1,0.6
45002.24999,-54.85302408,0.6,0.6,0.6,1,0.6
45002.29999,-54.85302434,0.6,0.6,0.6,1,0.6
45002.34999,-54.85302461,0.6,0.6,0.6,1,0.6
45002.39999,-54.85302488,0.6,0.6,0.6,1,0.6
45002.44999,-54.85302515,0.6,0.6,0.6,1,0.6
45002.49999,-54.85302542,0.6,0.6,0.6,1,0.6
45002.54999,-54.85302569,0.6,0.6,0.6,1,0.6
45002.59999,-54.85302596,0.6,0.6,0.6,1,0.6
45002.64999,-54.85302622,0.6,0.6,0.6,1,0.6
45002.69999,-54.85302649,0.6,0.6,0.6,1,0.6
45002.74999,-54.85302676,0.6,0.6,0.6,1,0.6
45002.79999,-54.85302703,0.6,0.6,0.6,1,0.6
45002.84999,-54.8530273,0.6,0.6,0.6,1,0.6
45002.89999,-54.85302757,0.6,0.6,0.6,1,0.6
45002.94999,-54.85302783,0.6,0.6,0.6,1,0.6
45002.99999,-54.8530281,0.6,0.6,0.6,1,0.6
45003.04999,-54.85302837,0.6,0.6,0.6,1,0.6
45003.09999,-54.85302864,0.6,0.6,0.6,1,0.6
45003.14999,-54.85302891,0.6,0.6,0.6,1,0.6
45003.19999,-54.85302918,0.6,0.6,0.6,1,0.6
45003.24999,-54.85302945,0.6,0.6,0.6,1,0.6
45003.29999,-54.85302971,0.6,0.6,0.6,1,0.6
45003.34999,-54.85302998,0.6,0.6,0.6,1,0.6
45003.39999,-54.85303025,0.6,0.6,0.6,1,0.6
45003.44999,-54.85303052,0.6,0.6,0.6,1,0.6
45003.49999,-54.85303079,0.6,0.6,0.6,1,0.6
45003.54999,-54.85303106,0.6,0.6,0.6,1,0.6
45003.59999,-54.85303132,0.6,0.6,0.6,1,0.6
45003.64999,-54.85303159,0.6,0.6,0.6,1,0.6
45003.69999,-54.85303186,0.6,0.6,0.6,1,0.6
45003.74999,-54.85303213,0.6,0.6,0.6,1,0.6
45003.79999,-54.8530324,0.6,0.6,0.6,1,0.6
45003.84999,-54.85303267,0.6,0.6,0.6,1,0.6
45003.89999,-54.85303294,0.6,0.6,0.6,1,0.6
45003.94999,-54.8530332,0.6,0.6,0.6,1,0.6
