Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-11.36212588,0.4,1,1,0.4,1
45000.09999,-11.40309622,0.4,1,1,0.4,1
45000.14999,-11.44410499,0.4,1,1,0.4,1
45000.19999,-11.48515211,0.4,1,1,0.4,1
45000.24999,-11.52623752,0.4,1,1,0.4,1
45000.29999,-11.56736114,0.4,1,1,0.4,1
45000.34999,-11.60852292,0.4,1,1,0.4,1
45000.39999,-11.64972279,0.4,1,1,0.4,1
45000.44999,-11.69096067,0.4,1,1,0.4,1
45000.49999,-11.73223651,0.4,1,1,0.4,1
45000.54999,-11.77355024,0.4,1,1,0.4,1
45000.59999,-11.81490178,0.4,1,1,0.4,1
45000.64999,-11.85629108,0.4,1,1,0.4,1
45000.69999,-11.89771807,0.4,1,1,0.4,1
45000.74999,-11.93918268,0.4,1,1,0.4,1
45000.79999,-11.98068484,0.4,1,1,0.4,1
45000.84999,-12.02222449,0.4,1,1,0.4,1
45000.89999,-12.06380156,0.4,1,1,0.4,1
45000.94999,-12.10541599,0.4,1,1,0.4,1
45000.99999,-12.14706772,0.4,1,1,0.4,1
45001.04999,-12.18875666,0.4,1,1,0.4,1
45001.09999,-12.23048277,0.4,1,1,0.4,1
45001.14999,-12.27224597,0.4,1,1,0.4,1
45001.19999,-12.31404619,0.4,1,1,0.4,1
45001.24999,-12.35588339,0.4,1,1,0.4,1
45001.29999,-12.39775748,0.4,1,1,0.4,1
45001.34999,-12.4396684,0.4,1,1,0.4,1
45001.39999,-12.48161609,0.4,1,1,0.4,1
45001.44999,-12.52360048,0.4,1,1,0.4,1
45001.49999,-12.56562151,0.4,1,1,0.4,1
45001.54999,-12.60767912,0.4,1,1,0.4,1
45001.59999,-12.64977324,0.4,1,1,0.4,1
45001.64999,-12.6919038,0.4,1,1,0.4,1
45001.69999,-12.73407075,0.4,1,1,0.4,1
45001.74999,-12.77627401,0.4,1,1,0.4,1
45001.79999,-12.81851353,0.4,1,1,0.4,1
45001.84999,-12.86078924,0.4,1,1,0.4,1
45001.89999,-12.90310108,0.4,1,1,0.4,1
45001.94999,-12.94544898,0.4,1,1,0.4,1
45001.99999,-12.98783288,0.4,1,1,0.4,1
45002.04999,-13.0302527,0.4,1,1,0.4,1
45002.09999,-13.07270838,0.4,1,1,0.4,1
45002.14999,-13.11519985,0.4,1,1,0.4,1
45002.19999,-13.15772707,0.4,1,1,0.4,1
45002.24999,-13.20028996,0.4,1,1,0.4,1
45002.29999,-13.24288846,0.4,1,1,0.4,1
45002.34999,-13.28552251,0.4,1,1,0.4,1
45002.39999,-13.32819205,0.4,1,1,0.4,1
45002.44999,-13.37089703,0.4,1,1,0.4,1
45002.49999,-13.41363737,0.4,1,1,0.4,1
45002.54999,-13.45641301,0.4,1,1,0.4,1
45002.59999,-13.49922391,0.4,1,1,0.4,1
45002.64999,-13.54206999,0.4,1,1,0.4,1
45002.69999,-13.5849512,0.4,1,1,0.4,1
45002.74999,-13.62786748,0.4,1,1,0.4,1
45002.79999,-13.67081877,0.4,1,1,0.4,1
45002.84999,-13.713805,0.4,1,1,0.4,1
45002.89999,-13.75682613,0.4,1,1,0.4,1
45002.94999,-13.79988208,0.4,1,1,0.4,1
45002.99999,-13.84297281,0.4,1,1,0.4,1
45003.04999,-13.88609825,0.4,1,1,0.4,1
45003.09999,-13.92925835,0.4,1,1,0.4,1
45003.14999,-13.97245305,0.4,1,1,0.4,1
45003.19999,-14.01568229,0.4,1,1,0.4,1
45003.24999,-14.05894601,0.4,1,1,0.4,1
45003.29999,-14.10224416,0.4,1,1,0.4,1
45003.34999,-14.14557667,0.4,1,1,0.4,1
45003.39999,-14.1889435,0.4,1,1,0.4,1
45003.44999,-14.23234459,0.4,1,1,0.4,1
45003.49999,-14.27577988,0.4,1,1,0.4,1
45003.54999,-14.31924931,0.4,1,1,0.4,1
45003.59999,-14.36275283,0.4,1,1,0.4,1
45003.64999,-14.40629039,0.4,1,1,0.4,1
45003.69999,-14.44986192,0.4,1,1,0.4,1
45003.74999,-14.49346738,0.4,1,1,0.4,1
45003.79999,-14.53710671,0.4,1,1,0.4,1
45003.84999,-14.58077985,0.4,1,1,0.4,1
45003.89999,-14.62448675,0.4,1,1,0.4,1
45003.94999,-14.66822736,0.4,1,1,0.4,1
45003.99999,-14.71200163,0.4,1,1,0.4,1
45004.04999,-14.75580949,0.4,1,1,0.4,1
45004.09999,-14.7996509,0.4,1,1,0.4,1
45004.14999,-14.84352581,0.4,1,1,0.4,1
