Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-18.10419898,0.8,1,1,1,0.8
45000.09999,-18.15716253,0.8,1,1,1,0.8
45000.14999,-18.21016211,0.8,1,1,1,0.8
45000.19999,-18.2631976,0.8,1,1,1,0.8
45000.24999,-18.31626885,0.8,1,1,1,0.8
45000.29999,-18.36937575,0.8,1,1,1,0.8
45000.34999,-18.42251815,0.8,1,1,1,0.8
45000.39999,-18.47569593,0.8,1,1,1,0.8
45000.44999,-18.52890896,0.8,1,1,1,0.8
45000.49999,-18.5821571,0.8,1,1,1,0.8
45000.54999,-18.63544022,0.8,1,1,1,0.8
45000.59999,-18.68875819,0.8,1,1,1,0.8
45000.64999,-18.74211089,0.8,1,1,1,0.8
45000.69999,-18.79549817,0.8,1,1,1,0.8
45000.74999,-18.84891992,0.8,1,1,1,0.8
45000.79999,-18.902376,0.8,1,1,1,0.8
45000.84999,-18.95586629,0.8,1,1,1,0.8
45000.89999,-19.00939065,0.8,1,1,1,0.8
45000.94999,-19.06294896,0.8,1,1,1,0.8
45000.99999,-19.11654108,0.8,1,1,1,0.8
45001.04999,-19.1701669,0.8,1,1,1,0.8
45001.09999,-19.22382628,0.8,1,1,1,0.8
45001.14999,-19.27751909,0.8,1,1,1,0.8
45001.19999,-19.33124521,0.8,1,1,1,0.8
45001.24999,-19.38500451,0.8,1,1,1,0.8
45001.29999,-19.43879686,0.8,1,1,1,0.8
45001.34999,-19.49262214,0.8,1,1,1,0.8
45001.39999,-19.54648023,0.8,1,1,1,0.8
45001.44999,-19.60037098,0.8,1,1,1,0.8
45001.49999,-19.65429429,0.8,1,1,1,0.8
45001.54999,-19.70825002,0.8,1,1,1,0.8
45001.59999,-19.76223805,0.8,1,1,1,0.8
45001.64999,-19.81625826,0.8,1,1,1,0.8
45001.69999,-19.87031051,0.8,1,1,1,0.8
45001.74999,-19.92439469,0.8,1,1,1,0.8
45001.79999,-19.97851067,0.8,1,1,1,0.8
45001.84999,-20.03265832,0.8,1,1,1,0.8
45001.89999,-20.08683754,0.8,1,1,1,0.8
45001.94999,-20.14104818,0.8,1,1,1,0.8
45001.99999,-20.19529012,0.8,1,1,1,0.8
45002.04999,-20.24956326,0.8,1,1,1,0.8
45002.09999,-20.30386745,0.8,1,1,1,0.8
45002.14999,-20.35820259,0.8,1,1,1,0.8
45002.19999,-20.41256854,0.8,1,1,1,0.8
45002.24999,-20.46696519,0.8,1,1,1,0.8
45002.29999,-20.52139241,0.8,1,1,1,0.8
45002.34999,-20.57585009,0.8,1,1,1,0.8
45002.39999,-20.6303381,0.8,1,1,1,0.8
45002.44999,-20.68485632,0.8,1,1,1,0.8
45002.49999,-20.73940464,0.8,1,1,1,0.8
45002.54999,-20.79398292,0.8,1,1,1,0.8
45002.59999,-20.84859106,0.8,1,1,1,0.8
45002.64999,-20.90322893,0.8,1,1,1,0.8
45002.69999,-20.95789641,0.8,1,1,1,0.8
45002.74999,-21.01259339,0.8,1,1,1,0.8
45002.79999,-21.06731975,0.8,1,1,1,0.8
45002.84999,-21.12207536,0.8,1,1,1,0.8
45002.89999,-21.17686011,0.8,1,1,1,0.8
45002.94999,-21.23167388,0.8,1,1,1,0.8
45002.99999,-21.28651655,0.8,1,1,1,0.8
45003.04999,-21.34138802,0.8,1,1,1,0.8
45003.09999,-21.39628815,0.8,1,1,1,0.8
45003.14999,-21.45121683,0.8,1,1,1,0.8
45003.19999,-21.50617395,0.8,1,1,1,0.8
45003.24999,-21.56115939,0.8,1,1,1,0.8
45003.29999,-21.61617304,0.8,1,1,1,0.8
45003.34999,-21.67121477,0.8,1,1,1,0.8
45003.39999,-21.72628448,0.8,1,1,1,0.8
45003.44999,-21.78138204,0.8,1,1,1,0.8
45003.49999,-21.83650735,0.8,1,1,1,0.8
45003.54999,-21.89166029,0.8,1,1,1,0.8
45003.59999,-21.94684074,0.8,1,1,1,0.8
45003.64999,-22.0020486,0.8,1,1,1,0.8
45003.69999,-22.05728374,0.8,1,1,1,0.8
45003.74999,-22.11254606,0.8,1,1,1,0.8
45003.79999,-22.16783544,0.8,1,1,1,0.8
45003.84999,-22.22315177,0.8,1,1,1,0.8
45003.89999,-22.27849494,0.8,1,1,1,0.8
45003.94999,-22.33386483,0.8,1,1,1,0.8
45003.99999,-22.38926133,0.8,1,1,1,0.8
45004.04999,-22.44468434,0.8,1,1,1,0.8
45004.09999,-22.50013373,0.8,1,1,1,0.8
45004.14999,-22.55560941,0.8,1,1,1,0.8
45004.19999,-22.61111126,0.8,1,1,1,0.8
45004.24999,-22.66663916,0.8,1,1,1,0.8
45004.29999,-22.72219302,0.8,1,1,1,0.8
45004.34999,-22.77777271,0.8,1,1,1,0.8
45004.39999,-22.83337813,0.8,1,1,1,0.8
45004.44999,-22.88900918,0.8,1,1,1,0.8
45004.49999,-22.94466574,0.8,1,1,1,0.8
45004.54999,-23.0003477,0.8,1,1,1,0.8
45004.59999,-23.05605496,0.8,1,1,1,0.8
45004.64999,-23.11178741,0.8,1,1,1,0.8
45004.69999,-23.16754493,0.8,1,1,1,0.8
45004.74999,-23.22332744,0.8,1,1,1,0.8
45004.79999,-23.27913481,0.8,1,1,1,0.8
45004.84999,-23.33496694,0.8,1,1,1,0.8
45004.89999,-23.39082372,0.8,1,1,1,0.8
45004.94999,-23.44670505,0.8,1,1,1,0.8
45004.99999,-23.50261083,0.8,1,1,1,0.8
45005.04999,-23.55854094,0.8,1,1,1,0.8
45005.09999,-23.61449529,0.8,1,1,1,0.8
45005.14999,-23.67047376,0.8,1,1,1,0.8
45005.19999,-23.72647626,0.8,1,1,1,0.8
45005.24999,-23.78250267,0.8,1,1,1,0.8
45005.29999,-23.8385529,0.8,1,1,1,0.8
45005.34999,-23.89462685,0.8,1,1,1,0.8
45005.39999,-23.9507244,0.8,1,1,1,0.8
45005.44999,-24.00684546,0.8,1,1,1,0.8
45005.49999,-24.06298992,0.8,1,1,1,0.8
45005.54999,-24.11915769,0.8,1,1,1,0.8
45005.59999,-24.17534865,0.8,1,1,1,0.8
45005.64999,-24.23156271,0.8,1,1,1,0.8
45005.69999,-24.28779977,0.8,1,1,1,0.8
45005.74999,-24.34405973,0.8,1,1,1,0.8
45005.79999,-24.40034248,0.8,1,1,1,0.8
45005.84999,-24.45664792,0.8,1,1,1,0.8
45005.89999,-24.51297596,0.8,1,1,1,0.8
45005.94999,-24.56932649,0.8,1,1,1,0.8
45005.99999,-24.62569942,0.8,1,1,1,0.8
45006.04999,-24.68209464,0.8,1,1,1,0.8
45006.09999,-24.73851206,0.8,1,1,1,0.8
45006.14999,-24.79495157,0.8,1,1,1,0.8
45006.19999,-24.85141309,0.8,1,1,1,0.8
45006.24999,-24.90789651,0.8,1,1,1,0.8
45006.29999,-24.96440173,0.8,1,1,1,0.8
45006.34999,-25.02092865,0.8,1,1,1,0.8
45006.39999,-25.07747719,0.8,1,1,1,0.8
45006.44999,-25.13404724,0.8,1,1,1,0.8
45006.49999,-25.1906387,0.8,1,1,1,0.8
45006.54999,-25.24725148,0.8,1,1,1,0.8
45006.59999,-25.30388548,0.8,1,1,1,0.8
45006.64999,-25.36054061,0.8,1,1,1,0.8
45006.69999,-25.41721677,0.8,1,1,1,0.8
45006.74999,-25.47391386,0.8,1,1,1,0.8
45006.79999,-25.5306318,0.8,1,1,1,0.8
45006.84999,-25.58737047,0.8,1,1,1,0.8
45006.89999,-25.6441298,0.8,1,1,1,0.8
45006.94999,-25.70090969,0.8,1,1,1,0.8
45006.99999,-25.75771004,0.8,1,1,1,0.8
45007.04999,-25.81453075,0.8,1,1,1,0.8
45007.09999,-25.87137174,0.8,1,1,1,0.8
45007.14999,-25.92823291,0.8,1,1,1,0.8
45007.19999,-25.98511417,0.8,1,1,1,0.8
45007.24999,-26.04201542,0.8,1,1,1,0.8
45007.29999,-26.09893658,0.8,1,1,1,0.8
45007.34999,-26.15587754,0.8,1,1,1,0.8
45007.39999,-26.21283822,0.8,1,1,1,0.8
45007.44999,-26.26981853,0.8,1,1,1,0.8
45007.49999,-26.32681837,0.8,1,1,1,0.8
45007.54999,-26.38383765,0.8,1,1,1,0.8
45007.59999,-26.44087628,0.8,1,1,1,0.8
45007.64999,-26.49793417,0.8,1,1,1,0.8
45007.69999,-26.55501123,0.8,1,1,1,0.8
45007.74999,-26.61210737,0.8,1,1,1,0.8
45007.79999,-26.66922249,0.8,1,1,1,0.8
45007.84999,-26.72635651,0.8,1,1,1,0.8
45007.89999,-26.78350933,0.8,1,1,1,0.8
45007.94999,-26.84068087,0.8,1,1,1,0.8
45007.99999,-26.89787103,0.8,1,1,1,0.8
45008.04999,-26.95507973,0.8,1,1,1,0.8
45008.09999,-27.01230688,0.8,1,1,1,0.8
45008.14999,-27.06955239,0.8,1,1,1,0.8
45008.19999,-27.12681616,0.8,1,1,1,0.8
45008.24999,-27.18409811,0.8,1,1,1,0.8
45008.29999,-27.24139815,0.8,1,1,1,0.8
45008.34999,-27.29871619,0.8,1,1,1,0.8
45008.39999,-27.35605214,0.8,1,1,1,0.8
45008.44999,-27.41340592,0.8,1,1,1,0.8
45008.49999,-27.47077743,0.8,1,1,1,0.8
45008.54999,-27.52816659,0.8,1,1,1,0.8
45008.59999,-27.58557331,0.8,1,1,1,0.8
45008.64999,-27.64299749,0.8,1,1,1,0.8
45008.69999,-27.70043906,0.8,1,1,1,0.8
45008.74999,-27.75789793,0.8,1,1,1,0.8
45008.79999,-27.815374,0.8,1,1,1,0.8
45008.84999,-27.87286719,0.8,1,1,1,0.8
45008.89999,-27.93037742,0.8,1,1,1,0.8
45008.94999,-27.98790459,0.8,1,1,1,0.8
45008.99999,-28.04544861,0.8,1,1,1,0.8
45009.04999,-28.10300941,0.8,1,1,1,0.8
45009.09999,-28.16058689,0.8,1,1,1,0.8
45009.14999,-28.21818096,0.8,1,1,1,0.8
45009.19999,-28.27579154,0.8,1,1,1,0.8
45009.24999,-28.33341855,0.8,1,1,1,0.8
45009.29999,-28.39106189,0.8,1,1,1,0.8
45009.34999,-28.44872147,0.8,1,1,1,0.8
45009.39999,-28.50639722,0.8,1,1,1,0.8
45009.44999,-28.56408904,0.8,1,1,1,0.8
45009.49999,-28.62179684,0.8,1,1,1,0.8
45009.54999,-28.67952055,0.8,1,1,1,0.8
45009.59999,-28.73726007,0.8,1,1,1,0.8
45009.64999,-28.79501531,0.8,1,1,1,0.8
45009.69999,-28.8527862,0.8,1,1,1,0.8
45009.74999,-28.91057263,0.8,1,1,1,0.8
45009.79999,-28.96837453,0.8,1,1,1,0.8
45009.84999,-29.02619182,0.8,1,1,1,0.8
45009.89999,-29.08402439,0.8,1,1,1,0.8
45009.94999,-29.14187217,0.8,1,1,1,0.8
45009.99999,-29.19973506,0.8,1,1,1,0.8
45010.04999,-29.25761299,0.8,1,1,1,0.8
45010.09999,-29.31550586,0.8,1,1,1,0.8
45010.14999,-29.37341359,0.8,1,1,1,0.8
45010.19999,-29.43133609,0.8,1,1,1,0.8
45010.24999,-29.48927327,0.8,1,1,1,0.8
45010.29999,-29.54722505,0.8,1,1,1,0.8
45010.34999,-29.60519133,0.8,1,1,1,0.8
45010.39999,-29.66317204,0.8,1,1,1,0.8
45010.44999,-29.72116707,0.8,1,1,1,0.8
45010.49999,-29.77917636,0.8,1,1,1,0.8
45010.54999,-29.8371998,0.8,1,1,1,0.8
45010.59999,-29.89523732,0.8,1,1,1,0.8
45010.64999,-29.95328881,0.8,1,1,1,0.8
45010.69999,-30.0113542,0.8,1,1,1,0.8
45010.74999,-30.0694334,0.8,1,1,1,0.8
45010.79999,-30.12752631,0.8,1,1,1,0.8
45010.84999,-30.18563286,0.8,1,1,1,0.8
45010.89999,-30.24375294,0.8,1,1,1,0.8
45010.94999,-30.30188648,0.8,1,1,1,0.8
45010.99999,-30.36003338,0.8,1,1,1,0.8
45011.04999,-30.41819355,0.8,1,1,1,0.8
45011.09999,-30.47636691,0.8,1,1,1,0.8
45011.14999,-30.53455337,0.8,1,1,1,0.8
45011.19999,-30.59275283,0.8,1,1,1,0.8
45011.24999,-30.65096521,0.8,1,1,1,0.8
45011.29999,-30.70919042,0.8,1,1,1,0.8
45011.34999,-30.76742837,0.8,1,1,1,0.8
45011.39999,-30.82567896,0.8,1,1,1,0.8
45011.44999,-30.8839421,0.8,1,1,1,0.8
45011.49999,-30.94221771,0.8,1,1,1,0.8
45011.54999,-31.0005057,0.8,1,1,1,0.8
45011.59999,-31.05880597,0.8,1,1,1,0.8
45011.64999,-31.11711843,0.8,1,1,1,0.8
45011.69999,-31.17544299,0.8,1,1,1,0.8
45011.74999,-31.23377956,0.8,1,1,1,0.8
45011.79999,-31.29212804,0.8,1,1,1,0.8
45011.84999,-31.35048835,0.8,1,1,1,0.8
45011.89999,-31.40886039,0.8,1,1,1,0.8
45011.94999,-31.46724407,0.8,1,1,1,0.8
45011.99999,-31.52563929,0.8,1,1,1,0.8
45012.04999,-31.58404596,0.8,1,1,1,0.8
45012.09999,-31.64246399,0.8,1,1,1,0.8
45012.14999,-31.70089328,0.8,1,1,1,0.8
45012.19999,-31.75933374,0.8,1,1,1,0.8
45012.24999,-31.81778528,0.8,1,1,1,0.8
45012.29999,-31.87624779,0.8,1,1,1,0.8
45012.34999,-31.93472119,0.8,1,1,1,0.8
45012.39999,-31.99320538,0.8,1,1,1,0.8
45012.44999,-32.05170026,0.8,1,1,1,0.8
45012.49999,-32.11020573,0.8,1,1,1,0.8
45012.54999,-32.1687217,0.8,1,1,1,0.8
45012.59999,-32.22724808,0.8,1,1,1,0.8
45012.64999,-32.28578476,0.8,1,1,1,0.8
45012.69999,-32.34433164,0.8,1,1,1,0.8
45012.74999,-32.40288863,0.8,1,1,1,0.8
45012.79999,-32.46145564,0.8,1,1,1,0.8
45012.84999,-32.52003255,0.8,1,1,1,0.8
45012.89999,-32.57861928,0.8,1,1,1,0.8
45012.94999,-32.63721572,0.8,1,1,1,0.8
45012.99999,-32.69582177,0.8,1,1,1,0.8
45013.04999,-32.75443733,0.8,1,1,1,0.8
45013.09999,-32.8130623,0.8,1,1,1,0.8
45013.14999,-32.87169658,0.8,1,1,1,0.8
45013.19999,-32.93034007,0.8,1,1,1,0.8
45013.24999,-32.98899267,0.8,1,1,1,0.8
45013.29999,-33.04765426,0.8,1,1,1,0.8
45013.34999,-33.10632476,0.8,1,1,1,0.8
45013.39999,-33.16500405,0.8,1,1,1,0.8
45013.44999,-33.22369204,0.8,1,1,1,0.8
45013.49999,-33.28238861,0.8,1,1,1,0.8
45013.54999,-33.34109367,0.8,1,1,1,0.8
45013.59999,-33.39980711,0.8,1,1,1,0.8
45013.64999,-33.45852881,0.8,1,1,1,0.8
45013.69999,-33.51725869,0.8,1,1,1,0.8
45013.74999,-33.57599662,0.8,1,1,1,0.8
45013.79999,-33.63474251,0.8,1,1,1,0.8
45013.84999,-33.69349624,0.8,1,1,1,0.8
45013.89999,-33.75225771,0.8,1,1,1,0.8
45013.94999,-33.8110268,0.8,1,1,1,0.8
45013.99999,-33.86980342,0.8,1,1,1,0.8
45014.04999,-33.92858744,0.8,1,1,1,0.8
45014.09999,-33.98737876,0.8,1,1,1,0.8
45014.14999,-34.04617728,0.8,1,1,1,0.8
45014.19999,-34.10498286,0.8,1,1,1,0.8
45014.24999,-34.16379542,0.8,1,1,1,0.8
45014.29999,-34.22261483,0.8,1,1,1,0.8
45014.34999,-34.28144098,0.8,1,1,1,0.8
45014.39999,-34.34027375,0.8,1,1,1,0.8
45014.44999,-34.39911304,0.8,1,1,1,0.8
45014.49999,-34.45795873,0.8,1,1,1,0.8
45014.54999,-34.5168107,0.8,1,1,1,0.8
45014.59999,-34.57566884,0.8,1,1,1,0.8
45014.64999,-34.63453304,0.8,1,1,1,0.8
45014.69999,-34.69340317,0.8,1,1,1,0.8
45014.74999,-34.75227912,0.8,1,1,1,0.8
45014.79999,-34.81116077,0.8,1,1,1,0.8
45014.84999,-34.87004801,0.8,1,1,1,0.8
45014.89999,-34.92894071,0.8,1,1,1,0.8
45014.94999,-34.98783875,0.8,1,1,1,0.8
45014.99999,-35.04674202,0.8,1,1,1,0.8
45015.04999,-35.10565039,0.8,1,1,1,0.8
45015.09999,-35.16456375,0.8,1,1,1,0.8
45015.14999,-35.22348197,0.8,1,1,1,0.8
45015.19999,-35.28240492,0.8,1,1,1,0.8
45015.24999,-35.3413325,0.8,1,1,1,0.8
45015.29999,-35.40026456,0.8,1,1,1,0.8
45015.34999,-35.45920099,0.8,1,1,1,0.8
45015.39999,-35.51814167,0.8,1,1,1,0.8
45015.44999,-35.57708646,0.8,1,1,1,0.8
45015.49999,-35.63603525,0.8,1,1,1,0.8
45015.54999,-35.6949879,0.8,1,1,1,0.8
45015.59999,-35.75394429,0.8,1,1,1,0.8
45015.64999,-35.81290429,0.8,1,1,1,0.8
45015.69999,-35.87186778,0.8,1,1,1,0.8
45015.74999,-35.93083461,0.8,1,1,1,0.8
45015.79999,-35.98980467,0.8,1,1,1,0.8
45015.84999,-36.04877782,0.8,1,1,1,0.8
45015.89999,-36.10775393,0.8,1,1,1,0.8
45015.94999,-36.16673288,0.8,1,1,1,0.8
45015.99999,-36.22571452,0.8,1,1,1,0.8
45016.04999,-36.28469872,0.8,1,1,1,0.8
45016.09999,-36.34368536,0.8,1,1,1,0.8
45016.14999,-36.40267429,0.8,1,1,1,0.8
45016.19999,-36.46166538,0.8,1,1,1,0.8
45016.24999,-36.52065851,0.8,1,1,1,0.8
45016.29999,-36.57965352,0.8,1,1,1,0.8
45016.34999,-36.63865029,0.8,1,1,1,0.8
45016.39999,-36.69764867,0.8,1,1,1,0.8
45016.44999,-36.75664853,0.8,1,1,1,0.8
45016.49999,-36.81564973,0.8,1,1,1,0.8
45016.54999,-36.87465213,0.8,1,1,1,0.8
45016.59999,-36.93365559,0.8,1,1,1,0.8
45016.64999,-36.99265997,0.8,1,1,1,0.8
45016.69999,-37.05166512,0.8,1,1,1,0.8
45016.74999,-37.11067092,0.8,1,1,1,0.8
45016.79999,-37.1696772,0.8,1,1,1,0.8
45016.84999,-37.22868384,0.8,1,1,1,0.8
45016.89999,-37.28769068,0.8,1,1,1,0.8
45016.94999,-37.34669758,0.8,1,1,1,0.8
45016.99999,-37.4057044,0.8,1,1,1,0.8
45017.04999,-37.46471099,0.8,1,1,1,0.8
45017.09999,-37.52371719,0.8,1,1,1,0.8
45017.14999,-37.58272288,0.8,1,1,1,0.8
45017.19999,-37.64172789,0.8,1,1,1,0.8
45017.24999,-37.70073208,0.8,1,1,1,0.8
45017.29999,-37.7597353,0.8,1,1,1,0.8
45017.34999,-37.8187374,0.8,1,1,1,0.8
45017.39999,-37.87773823,0.8,1,1,1,0.8
45017.44999,-37.93673763,0.8,1,1,1,0.8
45017.49999,-37.99573546,0.8,1,1,1,0.8
45017.54999,-38.05473156,0.8,1,1,1,0.8
45017.59999,-38.11372578,0.8,1,1,1,0.8
45017.64999,-38.17271797,0.8,1,1,1,0.8
45017.69999,-38.23170796,0.8,1,1,1,0.8
45017.74999,-38.29069561,0.8,1,1,1,0.8
45017.79999,-38.34968076,0.8,1,1,1,0.8
45017.84999,-38.40866325,0.8,1,1,1,0.8
45017.89999,-38.46764293,0.8,1,1,1,0.8
45017.94999,-38.52661963,0.8,1,1,1,0.8
45017.99999,-38.58559319,0.8,1,1,1,0.8
45018.04999,-38.64456347,0.8,1,1,1,0.8
45018.09999,-38.70353029,0.8,1,1,1,0.8
45018.14999,-38.7624935,0.8,1,1,1,0.8
45018.19999,-38.82145294,0.8,1,1,1,0.8
45018.24999,-38.88040844,0.8,1,1,1,0.8
45018.29999,-38.93935984,0.8,1,1,1,0.8
45018.34999,-38.99830698,0.8,1,1,1,0.8
45018.39999,-39.0572497,0.8,1,1,1,0.8
45018.44999,-39.11618782,0.8,1,1,1,0.8
45018.49999,-39.17512118,0.8,1,1,1,0.8
45018.54999,-39.23404963,0.8,1,1,1,0.8
45018.59999,-39.29297298,0.8,1,1,1,0.8
