Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-69.2942042,0.8,1,0.8,1,0.8
45000.09999,-69.30928545,0.8,1,0.8,1,0.8
45000.14999,-69.32432113,0.8,1,0.8,1,0.8
45000.19999,-69.33931131,0.8,1,0.8,1,0.8
45000.24999,-69.3542561,0.8,1,0.8,1,0.8
45000.29999,-69.36915558,0.8,1,0.8,1,0.8
45000.34999,-69.38400986,0.8,1,0.8,1,0.8
45000.39999,-69.39881902,0.8,1,0.8,1,0.8
45000.44999,-69.41358317,0.8,1,0.8,1,0.8
45000.49999,-69.42830239,0.8,1,0.8,1,0.8
45000.54999,-69.44297678,0.8,1,0.8,1,0.8
45000.59999,-69.45760644,0.8,1,0.8,1,0.8
45000.64999,-69.47219146,0.8,1,0.8,1,0.8
45000.69999,-69.48673193,0.8,1,0.8,1,0.8
45000.74999,-69.50122795,0.8,1,0.8,1,0.8
45000.79999,-69.51567961,0.8,1,0.8,1,0.8
45000.84999,-69.53008701,0.8,1,0.8,1,0.8
45000.89999,-69.54445024,0.8,1,0.8,1,0.8
45000.94999,-69.55876939,0.8,1,0.8,1,0.8
45000.99999,-69.57304457,0.8,1,0.8,1,0.8
45001.04999,-69.58727586,0.8,1,0.8,1,0.8
45001.09999,-69.60146336,0.8,1,0.8,1,0.8
45001.14999,-69.61560716,0.8,1,0.8,1,0.8
45001.19999,-69.62970736,0.8,1,0.8,1,0.8
45001.24999,-69.64376405,0.8,1,0.8,1,0.8
45001.29999,-69.65777732,0.8,1,0.8,1,0.8
45001.34999,-69.67174728,0.8,1,0.8,1,0.8
45001.39999,-69.68567401,0.8,1,0.8,1,0.8
45001.44999,-69.6995576,0.8,1,0.8,1,0.8
45001.49999,-69.71339816,0.8,1,0.8,1,0.8
45001.54999,-69.72719577,0.8,1,0.8,1,0.8
45001.59999,-69.74095054,0.8,1,0.8,1,0.8
45001.64999,-69.75466254,0.8,1,0.8,1,0.8
45001.69999,-69.76833189,0.8,1,0.8,1,0.8
45001.74999,-69.78195866,0.8,1,0.8,1,0.8
45001.79999,-69.79554296,0.8,1,0.8,1,0.8
45001.84999,-69.80908488,0.8,1,0.8,1,0.8
45001.89999,-69.82258451,0.8,1,0.8,1,0.8
45001.94999,-69.83604195,0.8,1,0.8,1,0.8
45001.99999,-69.84945728,0.8,1,0.8,1,0.8
45002.04999,-69.86283061,0.8,1,0.8,1,0.8
45002.09999,-69.87616203,0.8,1,0.8,1,0.8
45002.14999,-69.88945163,0.8,1,0.8,1,0.8
45002.19999,-69.9026995,0.8,1,0.8,1,0.8
45002.24999,-69.91590574,0.8,1,0.8,1,0.8
45002.29999,-69.92907043,0.8,1,0.8,1,0.8
45002.34999,-69.94219368,0.8,1,0.8,1,0.8
45002.39999,-69.95527558,0.8,1,0.8,1,0.8
45002.44999,-69.96831622,0.8,1,0.8,1,0.8
45002.49999,-69.98131569,0.8,1,0.8,1,0.8
45002.54999,-69.99427408,0.8,1,0.8,1,0.8
45002.59999,-70.00719149,0.8,1,0.8,1,0.8
45002.64999,-70.02006802,0.8,1,0.8,1,0.8
45002.69999,-70.03290375,0.8,1,0.8,1,0.8
45002.74999,-70.04569877,0.8,1,0.8,1,0.8
45002.79999,-70.05845319,0.8,1,0.8,1,0.8
45002.84999,-70.07116708,0.8,1,0.8,1,0.8
45002.89999,-70.08384056,0.8,1,0.8,1,0.8
45002.94999,-70.09647369,0.8,1,0.8,1,0.8
45002.99999,-70.10906659,0.8,1,0.8,1,0.8
45003.04999,-70.12161934,0.8,1,0.8,1,0.8
45003.09999,-70.13413204,0.8,1,0.8,1,0.8
45003.14999,-70.14660477,0.8,1,0.8,1,0.8
45003.19999,-70.15903762,0.8,1,0.8,1,0.8
45003.24999,-70.1714307,0.8,1,0.8,1,0.8
45003.29999,-70.18378409,0.8,1,0.8,1,0.8
45003.34999,-70.19609789,0.8,1,0.8,1,0.8
45003.39999,-70.20837218,0.8,1,0.8,1,0.8
45003.44999,-70.22060705,0.8,1,0.8,1,0.8
45003.49999,-70.23280261,0.8,1,0.8,1,0.8
45003.54999,-70.24495894,0.8,1,0.8,1,0.8
45003.59999,-70.25707613,0.8,1,0.8,1,0.8
45003.64999,-70.26915427,0.8,1,0.8,1,0.8
45003.69999,-70.28119346,0.8,1,0.8,1,0.8
45003.74999,-70.29319378,0.8,1,0.8,1,0.8
45003.79999,-70.30515533,0.8,1,0.8,1,0.8
45003.84999,-70.31707819,0.8,1,0.8,1,0.8
45003.89999,-70.32896247,0.8,1,0.8,1,0.8
45003.94999,-70.34080824,0.8,1,0.8,1,0.8
45003.99999,-70.35261561,0.8,1,0.8,1,0.8
45004.04999,-70.36438466,0.8,1,0.8,1,0.8
45004.09999,-70.37611547,0.8,1,0.8,1,0.8
45004.14999,-70.38780815,0.8,1,0.8,1,0.8
45004.19999,-70.39946278,0.8,1,0.8,1,0.8
45004.24999,-70.41107946,0.8,1,0.8,1,0.8
45004.29999,-70.42265827,0.8,1,0.8,1,0.8
45004.34999,-70.4341993,0.8,1,0.8,1,0.8
45004.39999,-70.44570264,0.8,1,0.8,1,0.8
45004.44999,-70.45716838,0.8,1,0.8,1,0.8
45004.49999,-70.46859662,0.8,1,0.8,1,0.8
45004.54999,-70.47998744,0.8,1,0.8,1,0.8
45004.59999,-70.49134093,0.8,1,0.8,1,0.8
45004.64999,-70.50265718,0.8,1,0.8,1,0.8
45004.69999,-70.51393628,0.8,1,0.8,1,0.8
45004.74999,-70.52517833,0.8,1,0.8,1,0.8
45004.79999,-70.5363834,0.8,1,0.8,1,0.8
45004.84999,-70.54755158,0.8,1,0.8,1,0.8
45004.89999,-70.55868298,0.8,1,0.8,1,0.8
45004.94999,-70.56977767,0.8,1,0.8,1,0.8
45004.99999,-70.58083575,0.8,1,0.8,1,0.8
45005.04999,-70.59185729,0.8,1,0.8,1,0.8
45005.09999,-70.6028424,0.8,1,0.8,1,0.8
45005.14999,-70.61379116,0.8,1,0.8,1,0.8
45005.19999,-70.62470366,0.8,1,0.8,1,0.8
45005.24999,-70.63557999,0.8,1,0.8,1,0.8
45005.29999,-70.64642022,0.8,1,0.8,1,0.8
45005.34999,-70.65722446,0.8,1,0.8,1,0.8
45005.39999,-70.6679928,0.8,1,0.8,1,0.8
45005.44999,-70.6787253,0.8,1,0.8,1,0.8
45005.49999,-70.68942208,0.8,1,0.8,1,0.8
