Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-60.39683024,0.2,1,0.2,0.2,0.2
45000.09999,-60.39683016,0.2,1,0.2,0.2,0.2
45000.14999,-60.39683008,0.2,1,0.2,0.2,0.2
45000.19999,-60.39683,0.2,1,0.2,0.2,0.2
45000.24999,-60.39682993,0.2,1,0.2,0.2,0.2
45000.29999,-60.39682985,0.2,1,0.2,0.2,0.2
45000.34999,-60.39682977,0.2,1,0.2,0.2,0.2
45000.39999,-60.39682969,0.2,1,0.2,0.2,0.2
45000.44999,-60.39682961,0.2,1,0.2,0.2,0.2
45000.49999,-60.39682953,0.2,1,0.2,0.2,0.2
45000.54999,-60.39682945,0.2,1,0.2,0.2,0.2
45000.59999,-60.39682937,0.2,1,0.2,0.2,0.2
45000.64999,-60.39682929,0.2,1,0.2,0.2,0.2
45000.69999,-60.39682921,0.2,1,0.2,0.2,0.2
45000.74999,-60.39682913,0.2,1,0.2,0.2,0.2
45000.79999,-60.39682906,0.2,1,0.2,0.2,0.2
45000.84999,-60.39682898,0.2,1,0.2,0.2,0.2
45000.89999,-60.3968289,0.2,1,0.2,0.2,0.2
45000.94999,-60.39682882,0.2,1,0.2,0.2,0.2
45000.99999,-60.39682874,0.2,1,0.2,0.2,0.2
45001.04999,-60.39682866,0.2,1,0.2,0.2,0.2
45001.09999,-60.39682858,0.2,1,0.2,0.2,0.2
45001.14999,-60.3968285,0.2,1,0.2,0.2,0.2
45001.19999,-60.39682842,0.2,1,0.2,0.2,0.2
45001.24999,-60.39682834,0.2,1,0.2,0.2,0.2
45001.29999,-60.39682826,0.2,1,0.2,0.2,0.2
45001.34999,-60.39682819,0.2,1,0.2,0.2,0.2
45001.39999,-60.39682811,0.2,1,0.2,0.2,0.2
45001.44999,-60.39682803,0.2,1,0.2,0.2,0.2
45001.49999,-60.39682795,0.2,1,0.2,0.2,0.2
45001.54999,-60.39682787,0.2,1,0.2,0.2,0.2
45001.59999,-60.39682779,0.2,1,0.2,0.2,0.2
45001.64999,-60.39682771,0.2,1,0.2,0.2,0.2
45001.69999,-60.39682763,0.2,1,0.2,0.2,0.2
45001.74999,-60.39682755,0.2,1,0.2,0.2,0.2
45001.79999,-60.39682747,0.2,1,0.2,0.2,0.2
45001.84999,-60.39682739,0.2,1,0.2,0.2,0.2
45001.89999,-60.39682732,0.2,1,0.2,0.2,0.2
45001.94999,-60.39682724,0.2,1,0.2,0.2,0.2
45001.99999,-60.39682716,0.2,1,0.2,0.2,0.2
45002.04999,-60.39682708,0.2,1,0.2,0.2,0.2
45002.09999,-60.396827,0.2,1,0.2,0.2,0.2
45002.14999,-60.39682692,0.2,1,0.2,0.2,0.2
45002.19999,-60.39682684,0.2,1,0.2,0.2,0.2
45002.24999,-60.39682676,0.2,1,0.2,0.2,0.2
45002.29999,-60.39682668,0.2,1,0.2,0.2,0.2
45002.34999,-60.3968266,0.2,1,0.2,0.2,0.2
45002.39999,-60.39682652,0.2,1,0.2,0.2,0.2
45002.44999,-60.39682645,0.2,1,0.2,0.2,0.2
45002.49999,-60.39682637,0.2,1,0.2,0.2,0.2
45002.54999,-60.39682629,0.2,1,0.2,0.2,0.2
45002.59999,-60.39682621,0.2,1,0.2,0.2,0.2
45002.64999,-60.39682613,0.2,1,0.2,0.2,0.2
45002.69999,-60.39682605,0.2,1,0.2,0.2,0.2
45002.74999,-60.39682597,0.2,1,0.2,0.2,0.2
45002.79999,-60.39682589,0.2,1,0.2,0.2,0.2
45002.84999,-60.39682581,0.2,1,0.2,0.2,0.2
45002.89999,-60.39682573,0.2,1,0.2,0.2,0.2
45002.94999,-60.39682565,0.2,1,0.2,0.2,0.2
45002.99999,-60.39682558,0.2,1,0.2,0.2,0.2
45003.04999,-60.3968255,0.2,1,0.2,0.2,0.2
45003.09999,-60.39682542,0.2,1,0.2,0.2,0.2
45003.14999,-60.39682534,0.2,1,0.2,0.2,0.2
45003.19999,-60.39682526,0.2,1,0.2,0.2,0.2
45003.24999,-60.39682518,0.2,1,0.2,0.2,0.2
45003.29999,-60.3968251,0.2,1,0.2,0.2,0.2
45003.34999,-60.39682502,0.2,1,0.2,0.2,0.2
45003.39999,-60.39682494,0.2,1,0.2,0.2,0.2
45003.44999,-60.39682486,0.2,1,0.2,0.2,0.2
45003.49999,-60.39682479,0.2,1,0.2,0.2,0.2
45003.54999,-60.39682471,0.2,1,0.2,0.2,0.2
45003.59999,-60.39682463,0.2,1,0.2,0.2,0.2
45003.64999,-60.39682455,0.2,1,0.2,0.2,0.2
45003.69999,-60.39682447,0.2,1,0.2,0.2,0.2
45003.74999,-60.39682439,0.2,1,0.2,0.2,0.2
45003.79999,-60.39682431,0.2,1,0.2,0.2,0.2
45003.84999,-60.39682423,0.2,1,0.2,0.2,0.2
45003.89999,-60.39682415,0.2,1,0.2,0.2,0.2
45003.94999,-60.39682407,0.2,1,0.2,0.2,0.2
45003.99999,-60.39682399,0.2,1,0.2,0.2,0.2
45004.04999,-60.39682392,0.2,1,0.2,0.2,0.2
45004.09999,-60.39682384,0.2,1,0.2,0.2,0.2
45004.14999,-60.39682376,0.2,1,0.2,0.2,0.2
45004.19999,-60.39682368,0.2,1,0.2,0.2,0.2
45004.24999,-60.3968236,0.2,1,0.2,0.2,0.2
45004.29999,-60.39682352,0.2,1,0.2,0.2,0.2
45004.34999,-60.39682344,0.2,1,0.2,0.2,0.2
45004.39999,-60.39682336,0.2,1,0.2,0.2,0.2
45004.44999,-60.39682328,0.2,1,0.2,0.2,0.2
45004.49999,-60.3968232,0.2,1,0.2,0.2,0.2
45004.54999,-60.39682312,0.2,1,0.2,0.2,0.2
45004.59999,-60.39682305,0.2,1,0.2,0.2,0.2
45004.64999,-60.39682297,0.2,1,0.2,0.2,0.2
45004.69999,-60.39682289,0.2,1,0.2,0.2,0.2
45004.74999,-60.39682281,0.2,1,0.2,0.2,0.2
45004.79999,-60.39682273,0.2,1,0.2,0.2,0.2
45004.84999,-60.39682265,0.2,1,0.2,0.2,0.2
45004.89999,-60.39682257,0.2,1,0.2,0.2,0.2
