Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-67.46711733,1,0.4,0.4,1,1
45000.09999,-67.46363045,1,0.4,0.4,1,1
45000.14999,-67.46014098,1,0.4,0.4,1,1
45000.19999,-67.45664893,1,0.4,0.4,1,1
45000.24999,-67.45315428,1,0.4,0.4,1,1
45000.29999,-67.44965704,1,0.4,0.4,1,1
45000.34999,-67.44615719,1,0.4,0.4,1,1
45000.39999,-67.44265472,1,0.4,0.4,1,1
45000.44999,-67.43914964,1,0.4,0.4,1,1
45000.49999,-67.43564193,1,0.4,0.4,1,1
45000.54999,-67.4321316,1,0.4,0.4,1,1
45000.59999,-67.42861862,1,0.4,0.4,1,1
45000.64999,-67.425103,1,0.4,0.4,1,1
45000.69999,-67.42158473,1,0.4,0.4,1,1
45000.74999,-67.4180638,1,0.4,0.4,1,1
45000.79999,-67.4145402,1,0.4,0.4,1,1
45000.84999,-67.41101393,1,0.4,0.4,1,1
45000.89999,-67.40748499,1,0.4,0.4,1,1
45000.94999,-67.40395336,1,0.4,0.4,1,1
45000.99999,-67.40041904,1,0.4,0.4,1,1
45001.04999,-67.39688202,1,0.4,0.4,1,1
45001.09999,-67.3933423,1,0.4,0.4,1,1
45001.14999,-67.38979987,1,0.4,0.4,1,1
45001.19999,-67.38625471,1,0.4,0.4,1,1
45001.24999,-67.38270684,1,0.4,0.4,1,1
45001.29999,-67.37915622,1,0.4,0.4,1,1
45001.34999,-67.37560287,1,0.4,0.4,1,1
45001.39999,-67.37204678,1,0.4,0.4,1,1
45001.44999,-67.36848793,1,0.4,0.4,1,1
45001.49999,-67.36492632,1,0.4,0.4,1,1
45001.54999,-67.36136194,1,0.4,0.4,1,1
45001.59999,-67.35779479,1,0.4,0.4,1,1
45001.64999,-67.35422486,1,0.4,0.4,1,1
45001.69999,-67.35065214,1,0.4,0.4,1,1
45001.74999,-67.34707662,1,0.4,0.4,1,1
45001.79999,-67.3434983,1,0.4,0.4,1,1
45001.84999,-67.33991717,1,0.4,0.4,1,1
45001.89999,-67.33633322,1,0.4,0.4,1,1
45001.94999,-67.33274645,1,0.4,0.4,1,1
45001.99999,-67.32915684,1,0.4,0.4,1,1
45002.04999,-67.3255644,1,0.4,0.4,1,1
45002.09999,-67.32196911,1,0.4,0.4,1,1
45002.14999,-67.31837096,1,0.4,0.4,1,1
45002.19999,-67.31476996,1,0.4,0.4,1,1
45002.24999,-67.31116608,1,0.4,0.4,1,1
45002.29999,-67.30755933,1,0.4,0.4,1,1
45002.34999,-67.30394969,1,0.4,0.4,1,1
45002.39999,-67.30033716,1,0.4,0.4,1,1
45002.44999,-67.29672173,1,0.4,0.4,1,1
45002.49999,-67.2931034,1,0.4,0.4,1,1
45002.54999,-67.28948215,1,0.4,0.4,1,1
45002.59999,-67.28585798,1,0.4,0.4,1,1
45002.64999,-67.28223088,1,0.4,0.4,1,1
45002.69999,-67.27860084,1,0.4,0.4,1,1
45002.74999,-67.27496785,1,0.4,0.4,1,1
45002.79999,-67.27133191,1,0.4,0.4,1,1
45002.84999,-67.26769301,1,0.4,0.4,1,1
45002.89999,-67.26405114,1,0.4,0.4,1,1
45002.94999,-67.2604063,1,0.4,0.4,1,1
45002.99999,-67.25675846,1,0.4,0.4,1,1
45003.04999,-67.25310764,1,0.4,0.4,1,1
45003.09999,-67.24945381,1,0.4,0.4,1,1
45003.14999,-67.24579698,1,0.4,0.4,1,1
45003.19999,-67.24213713,1,0.4,0.4,1,1
45003.24999,-67.23847425,1,0.4,0.4,1,1
45003.29999,-67.23480834,1,0.4,0.4,1,1
45003.34999,-67.23113939,1,0.4,0.4,1,1
45003.39999,-67.22746738,1,0.4,0.4,1,1
45003.44999,-67.22379232,1,0.4,0.4,1,1
45003.49999,-67.2201142,1,0.4,0.4,1,1
45003.54999,-67.21643299,1,0.4,0.4,1,1
45003.59999,-67.21274871,1,0.4,0.4,1,1
45003.64999,-67.20906133,1,0.4,0.4,1,1
45003.69999,-67.20537086,1,0.4,0.4,1,1
45003.74999,-67.20167727,1,0.4,0.4,1,1
45003.79999,-67.19798057,1,0.4,0.4,1,1
45003.84999,-67.19428074,1,0.4,0.4,1,1
45003.89999,-67.19057778,1,0.4,0.4,1,1
45003.94999,-67.18687167,1,0.4,0.4,1,1
45003.99999,-67.18316242,1,0.4,0.4,1,1
45004.04999,-67.17945,1,0.4,0.4,1,1
45004.09999,-67.17573441,1,0.4,0.4,1,1
45004.14999,-67.17201565,1,0.4,0.4,1,1
45004.19999,-67.1682937,1,0.4,0.4,1,1
45004.24999,-67.16456856,1,0.4,0.4,1,1
45004.29999,-67.16084021,1,0.4,0.4,1,1
45004.34999,-67.15710865,1,0.4,0.4,1,1
45004.39999,-67.15337386,1,0.4,0.4,1,1
45004.44999,-67.14963585,1,0.4,0.4,1,1
45004.49999,-67.14589459,1,0.4,0.4,1,1
45004.54999,-67.14215009,1,0.4,0.4,1,1
45004.59999,-67.13840232,1,0.4,0.4,1,1
45004.64999,-67.13465129,1,0.4,0.4,1,1
45004.69999,-67.13089699,1,0.4,0.4,1,1
45004.74999,-67.12713939,1,0.4,0.4,1,1
45004.79999,-67.1233785,1,0.4,0.4,1,1
45004.84999,-67.11961431,1,0.4,0.4,1,1
45004.89999,-67.11584681,1,0.4,0.4,1,1
45004.94999,-67.11207598,1,0.4,0.4,1,1
45004.99999,-67.10830181,1,0.4,0.4,1,1
45005.04999,-67.10452431,1,0.4,0.4,1,1
45005.09999,-67.10074345,1,0.4,0.4,1,1
45005.14999,-67.09695923,1,0.4,0.4,1,1
45005.19999,-67.09317165,1,0.4,0.4,1,1
45005.24999,-67.08938068,1,0.4,0.4,1,1
45005.29999,-67.08558632,1,0.4,0.4,1,1
45005.34999,-67.08178856,1,0.4,0.4,1,1
45005.39999,-67.07798739,1,0.4,0.4,1,1
45005.44999,-67.0741828,1,0.4,0.4,1,1
45005.49999,-67.07037478,1,0.4,0.4,1,1
45005.54999,-67.06656332,1,0.4,0.4,1,1
45005.59999,-67.06274842,1,0.4,0.4,1,1
45005.64999,-67.05893005,1,0.4,0.4,1,1
45005.69999,-67.05510822,1,0.4,0.4,1,1
45005.74999,-67.0512829,1,0.4,0.4,1,1
45005.79999,-67.0474541,1,0.4,0.4,1,1
45005.84999,-67.04362179,1,0.4,0.4,1,1
45005.89999,-67.03978598,1,0.4,0.4,1,1
45005.94999,-67.03594665,1,0.4,0.4,1,1
45005.99999,-67.03210378,1,0.4,0.4,1,1
45006.04999,-67.02825738,1,0.4,0.4,1,1
45006.09999,-67.02440742,1,0.4,0.4,1,1
45006.14999,-67.0205539,1,0.4,0.4,1,1
45006.19999,-67.01669681,1,0.4,0.4,1,1
45006.24999,-67.01283614,1,0.4,0.4,1,1
45006.29999,-67.00897187,1,0.4,0.4,1,1
45006.34999,-67.005104,1,0.4,0.4,1,1
45006.39999,-67.00123252,1,0.4,0.4,1,1
45006.44999,-66.99735741,1,0.4,0.4,1,1
45006.49999,-66.99347866,1,0.4,0.4,1,1
45006.54999,-66.98959627,1,0.4,0.4,1,1
45006.59999,-66.98571022,1,0.4,0.4,1,1
45006.64999,-66.9818205,1,0.4,0.4,1,1
45006.69999,-66.9779271,1,0.4,0.4,1,1
45006.74999,-66.97403001,1,0.4,0.4,1,1
45006.79999,-66.97012922,1,0.4,0.4,1,1
45006.84999,-66.96622471,1,0.4,0.4,1,1
45006.89999,-66.96231648,1,0.4,0.4,1,1
45006.94999,-66.95840452,1,0.4,0.4,1,1
45006.99999,-66.95448881,1,0.4,0.4,1,1
45007.04999,-66.95056934,1,0.4,0.4,1,1
45007.09999,-66.9466461,1,0.4,0.4,1,1
45007.14999,-66.94271908,1,0.4,0.4,1,1
45007.19999,-66.93878827,1,0.4,0.4,1,1
45007.24999,-66.93485366,1,0.4,0.4,1,1
45007.29999,-66.93091523,1,0.4,0.4,1,1
45007.34999,-66.92697297,1,0.4,0.4,1,1
45007.39999,-66.92302687,1,0.4,0.4,1,1
45007.44999,-66.91907693,1,0.4,0.4,1,1
45007.49999,-66.91512312,1,0.4,0.4,1,1
45007.54999,-66.91116543,1,0.4,0.4,1,1
45007.59999,-66.90720387,1,0.4,0.4,1,1
45007.64999,-66.9032384,1,0.4,0.4,1,1
45007.69999,-66.89926902,1,0.4,0.4,1,1
45007.74999,-66.89529572,1,0.4,0.4,1,1
45007.79999,-66.89131849,1,0.4,0.4,1,1
45007.84999,-66.88733731,1,0.4,0.4,1,1
45007.89999,-66.88335217,1,0.4,0.4,1,1
45007.94999,-66.87936307,1,0.4,0.4,1,1
45007.99999,-66.87536997,1,0.4,0.4,1,1
45008.04999,-66.87137289,1,0.4,0.4,1,1
45008.09999,-66.86737179,1,0.4,0.4,1,1
45008.14999,-66.86336667,1,0.4,0.4,1,1
45008.19999,-66.85935752,1,0.4,0.4,1,1
45008.24999,-66.85534433,1,0.4,0.4,1,1
45008.29999,-66.85132707,1,0.4,0.4,1,1
45008.34999,-66.84730575,1,0.4,0.4,1,1
45008.39999,-66.84328034,1,0.4,0.4,1,1
