Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,17.17529714,1,1.6,1,1,1.6
45000.09999,17.16331902,1,1.6,1,1,1.6
45000.14999,17.15133331,1,1.6,1,1,1.6
45000.19999,17.13933998,1,1.6,1,1,1.6
45000.24999,17.12733903,1,1.6,1,1,1.6
45000.29999,17.11533045,1,1.6,1,1,1.6
45000.34999,17.10331423,1,1.6,1,1,1.6
45000.39999,17.09129035,1,1.6,1,1,1.6
45000.44999,17.07925882,1,1.6,1,1,1.6
45000.49999,17.06721962,1,1.6,1,1,1.6
45000.54999,17.05517274,1,1.6,1,1,1.6
45000.59999,17.04311817,1,1.6,1,1,1.6
45000.64999,17.03105591,1,1.6,1,1,1.6
45000.69999,17.01898594,1,1.6,1,1,1.6
45000.74999,17.00690826,1,1.6,1,1,1.6
45000.79999,16.99482285,1,1.6,1,1,1.6
45000.84999,16.98272972,1,1.6,1,1,1.6
45000.89999,16.97062884,1,1.6,1,1,1.6
45000.94999,16.95852022,1,1.6,1,1,1.6
45000.99999,16.94640384,1,1.6,1,1,1.6
45001.04999,16.93427969,1,1.6,1,1,1.6
45001.09999,16.92214777,1,1.6,1,1,1.6
45001.14999,16.91000808,1,1.6,1,1,1.6
45001.19999,16.89786059,1,1.6,1,1,1.6
45001.24999,16.8857053,1,1.6,1,1,1.6
45001.29999,16.87354221,1,1.6,1,1,1.6
45001.34999,16.86137131,1,1.6,1,1,1.6
45001.39999,16.84919258,1,1.6,1,1,1.6
45001.44999,16.83700603,1,1.6,1,1,1.6
45001.49999,16.82481164,1,1.6,1,1,1.6
45001.54999,16.81260941,1,1.6,1,1,1.6
45001.59999,16.80039933,1,1.6,1,1,1.6
45001.64999,16.78818138,1,1.6,1,1,1.6
45001.69999,16.77595558,1,1.6,1,1,1.6
45001.74999,16.76372189,1,1.6,1,1,1.6
45001.79999,16.75148033,1,1.6,1,1,1.6
45001.84999,16.73923088,1,1.6,1,1,1.6
45001.89999,16.72697354,1,1.6,1,1,1.6
45001.94999,16.71470829,1,1.6,1,1,1.6
45001.99999,16.70243513,1,1.6,1,1,1.6
45002.04999,16.69015406,1,1.6,1,1,1.6
45002.09999,16.67786506,1,1.6,1,1,1.6
45002.14999,16.66556814,1,1.6,1,1,1.6
45002.19999,16.65326328,1,1.6,1,1,1.6
45002.24999,16.64095047,1,1.6,1,1,1.6
45002.29999,16.62862971,1,1.6,1,1,1.6
45002.34999,16.616301,1,1.6,1,1,1.6
45002.39999,16.60396432,1,1.6,1,1,1.6
45002.44999,16.59161968,1,1.6,1,1,1.6
45002.49999,16.57926705,1,1.6,1,1,1.6
45002.54999,16.56690645,1,1.6,1,1,1.6
45002.59999,16.55453785,1,1.6,1,1,1.6
45002.64999,16.54216126,1,1.6,1,1,1.6
45002.69999,16.52977666,1,1.6,1,1,1.6
45002.74999,16.51738406,1,1.6,1,1,1.6
45002.79999,16.50498344,1,1.6,1,1,1.6
45002.84999,16.4925748,1,1.6,1,1,1.6
45002.89999,16.48015814,1,1.6,1,1,1.6
45002.94999,16.46773344,1,1.6,1,1,1.6
45002.99999,16.4553007,1,1.6,1,1,1.6
45003.04999,16.44285991,1,1.6,1,1,1.6
45003.09999,16.43041107,1,1.6,1,1,1.6
45003.14999,16.41795418,1,1.6,1,1,1.6
45003.19999,16.40548922,1,1.6,1,1,1.6
45003.24999,16.39301619,1,1.6,1,1,1.6
45003.29999,16.38053509,1,1.6,1,1,1.6
45003.34999,16.3680459,1,1.6,1,1,1.6
45003.39999,16.35554863,1,1.6,1,1,1.6
45003.44999,16.34304326,1,1.6,1,1,1.6
45003.49999,16.3305298,1,1.6,1,1,1.6
45003.54999,16.31800823,1,1.6,1,1,1.6
45003.59999,16.30547855,1,1.6,1,1,1.6
45003.64999,16.29294075,1,1.6,1,1,1.6
45003.69999,16.28039483,1,1.6,1,1,1.6
45003.74999,16.26784079,1,1.6,1,1,1.6
45003.79999,16.25527861,1,1.6,1,1,1.6
45003.84999,16.24270829,1,1.6,1,1,1.6
45003.89999,16.23012983,1,1.6,1,1,1.6
45003.94999,16.21754322,1,1.6,1,1,1.6
45003.99999,16.20494846,1,1.6,1,1,1.6
45004.04999,16.19234553,1,1.6,1,1,1.6
45004.09999,16.17973444,1,1.6,1,1,1.6
45004.14999,16.16711518,1,1.6,1,1,1.6
45004.19999,16.15448774,1,1.6,1,1,1.6
45004.24999,16.14185211,1,1.6,1,1,1.6
45004.29999,16.1292083,1,1.6,1,1,1.6
45004.34999,16.1165563,1,1.6,1,1,1.6
45004.39999,16.1038961,1,1.6,1,1,1.6
45004.44999,16.0912277,1,1.6,1,1,1.6
45004.49999,16.07855108,1,1.6,1,1,1.6
45004.54999,16.06586625,1,1.6,1,1,1.6
45004.59999,16.05317321,1,1.6,1,1,1.6
45004.64999,16.04047193,1,1.6,1,1,1.6
45004.69999,16.02776243,1,1.6,1,1,1.6
45004.74999,16.01504469,1,1.6,1,1,1.6
45004.79999,16.00231872,1,1.6,1,1,1.6
45004.84999,15.98958449,1,1.6,1,1,1.6
