Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-64.33162815,1,1.2,1.2,1,1.2
45000.09999,-64.32513363,1,1.2,1.2,1,1.2
45000.14999,-64.318616,1,1.2,1.2,1,1.2
45000.19999,-64.31207509,1,1.2,1.2,1,1.2
45000.24999,-64.30551072,1,1.2,1.2,1,1.2
45000.29999,-64.29892274,1,1.2,1.2,1,1.2
45000.34999,-64.29231095,1,1.2,1.2,1,1.2
45000.39999,-64.28567519,1,1.2,1.2,1,1.2
45000.44999,-64.27901528,1,1.2,1.2,1,1.2
45000.49999,-64.27233103,1,1.2,1.2,1,1.2
45000.54999,-64.26562226,1,1.2,1.2,1,1.2
45000.59999,-64.25888879,1,1.2,1.2,1,1.2
45000.64999,-64.25213043,1,1.2,1.2,1,1.2
45000.69999,-64.24534699,1,1.2,1.2,1,1.2
45000.74999,-64.23853828,1,1.2,1.2,1,1.2
45000.79999,-64.23170412,1,1.2,1.2,1,1.2
45000.84999,-64.2248443,1,1.2,1.2,1,1.2
45000.89999,-64.21795862,1,1.2,1.2,1,1.2
45000.94999,-64.21104689,1,1.2,1.2,1,1.2
45000.99999,-64.20410891,1,1.2,1.2,1,1.2
45001.04999,-64.19714448,1,1.2,1.2,1,1.2
45001.09999,-64.19015338,1,1.2,1.2,1,1.2
45001.14999,-64.18313541,1,1.2,1.2,1,1.2
45001.19999,-64.17609036,1,1.2,1.2,1,1.2
45001.24999,-64.16901802,1,1.2,1.2,1,1.2
45001.29999,-64.16191817,1,1.2,1.2,1,1.2
45001.34999,-64.1547906,1,1.2,1.2,1,1.2
45001.39999,-64.14763508,1,1.2,1.2,1,1.2
45001.44999,-64.14045139,1,1.2,1.2,1,1.2
45001.49999,-64.13323931,1,1.2,1.2,1,1.2
45001.54999,-64.12599861,1,1.2,1.2,1,1.2
45001.59999,-64.11872905,1,1.2,1.2,1,1.2
45001.64999,-64.11143042,1,1.2,1.2,1,1.2
45001.69999,-64.10410247,1,1.2,1.2,1,1.2
45001.74999,-64.09674496,1,1.2,1.2,1,1.2
45001.79999,-64.08935765,1,1.2,1.2,1,1.2
45001.84999,-64.0819403,1,1.2,1.2,1,1.2
45001.89999,-64.07449266,1,1.2,1.2,1,1.2
45001.94999,-64.06701449,1,1.2,1.2,1,1.2
45001.99999,-64.05950553,1,1.2,1.2,1,1.2
45002.04999,-64.05196552,1,1.2,1.2,1,1.2
45002.09999,-64.04439421,1,1.2,1.2,1,1.2
45002.14999,-64.03679133,1,1.2,1.2,1,1.2
45002.19999,-64.02915662,1,1.2,1.2,1,1.2
45002.24999,-64.02148982,1,1.2,1.2,1,1.2
45002.29999,-64.01379065,1,1.2,1.2,1,1.2
45002.34999,-64.00605883,1,1.2,1.2,1,1.2
45002.39999,-63.9982941,1,1.2,1.2,1,1.2
45002.44999,-63.99049616,1,1.2,1.2,1,1.2
45002.49999,-63.98266474,1,1.2,1.2,1,1.2
45002.54999,-63.97479955,1,1.2,1.2,1,1.2
45002.59999,-63.96690029,1,1.2,1.2,1,1.2
45002.64999,-63.95896667,1,1.2,1.2,1,1.2
45002.69999,-63.95099839,1,1.2,1.2,1,1.2
45002.74999,-63.94299515,1,1.2,1.2,1,1.2
45002.79999,-63.93495665,1,1.2,1.2,1,1.2
45002.84999,-63.92688257,1,1.2,1.2,1,1.2
45002.89999,-63.9187726,1,1.2,1.2,1,1.2
45002.94999,-63.91062642,1,1.2,1.2,1,1.2
45002.99999,-63.90244371,1,1.2,1.2,1,1.2
45003.04999,-63.89422414,1,1.2,1.2,1,1.2
45003.09999,-63.88596739,1,1.2,1.2,1,1.2
45003.14999,-63.87767311,1,1.2,1.2,1,1.2
45003.19999,-63.86934098,1,1.2,1.2,1,1.2
45003.24999,-63.86097064,1,1.2,1.2,1,1.2
45003.29999,-63.85256175,1,1.2,1.2,1,1.2
45003.34999,-63.84411397,1,1.2,1.2,1,1.2
45003.39999,-63.83562692,1,1.2,1.2,1,1.2
45003.44999,-63.82710025,1,1.2,1.2,1,1.2
45003.49999,-63.8185336,1,1.2,1.2,1,1.2
45003.54999,-63.80992659,1,1.2,1.2,1,1.2
45003.59999,-63.80127884,1,1.2,1.2,1,1.2
45003.64999,-63.79258999,1,1.2,1.2,1,1.2
45003.69999,-63.78385963,1,1.2,1.2,1,1.2
45003.74999,-63.77508738,1,1.2,1.2,1,1.2
45003.79999,-63.76627285,1,1.2,1.2,1,1.2
45003.84999,-63.75741562,1,1.2,1.2,1,1.2
45003.89999,-63.7485153,1,1.2,1.2,1,1.2
45003.94999,-63.73957147,1,1.2,1.2,1,1.2
45003.99999,-63.73058371,1,1.2,1.2,1,1.2
45004.04999,-63.72155161,1,1.2,1.2,1,1.2
45004.09999,-63.71247471,1,1.2,1.2,1,1.2
45004.14999,-63.7033526,1,1.2,1.2,1,1.2
45004.19999,-63.69418483,1,1.2,1.2,1,1.2
45004.24999,-63.68497095,1,1.2,1.2,1,1.2
45004.29999,-63.6757105,1,1.2,1.2,1,1.2
45004.34999,-63.66640303,1,1.2,1.2,1,1.2
45004.39999,-63.65704807,1,1.2,1.2,1,1.2
45004.44999,-63.64764514,1,1.2,1.2,1,1.2
45004.49999,-63.63819376,1,1.2,1.2,1,1.2
45004.54999,-63.62869344,1,1.2,1.2,1,1.2
45004.59999,-63.61914369,1,1.2,1.2,1,1.2
45004.64999,-63.60954401,1,1.2,1.2,1,1.2
45004.69999,-63.59989388,1,1.2,1.2,1,1.2
45004.74999,-63.59019279,1,1.2,1.2,1,1.2
45004.79999,-63.58044021,1,1.2,1.2,1,1.2
45004.84999,-63.57063561,1,1.2,1.2,1,1.2
45004.89999,-63.56077845,1,1.2,1.2,1,1.2
45004.94999,-63.55086819,1,1.2,1.2,1,1.2
45004.99999,-63.54090425,1,1.2,1.2,1,1.2
45005.04999,-63.53088609,1,1.2,1.2,1,1.2
45005.09999,-63.52081312,1,1.2,1.2,1,1.2
45005.14999,-63.51068477,1,1.2,1.2,1,1.2
45005.19999,-63.50050044,1,1.2,1.2,1,1.2
45005.24999,-63.49025952,1,1.2,1.2,1,1.2
45005.29999,-63.47996142,1,1.2,1.2,1,1.2
45005.34999,-63.46960551,1,1.2,1.2,1,1.2
45005.39999,-63.45919117,1,1.2,1.2,1,1.2
45005.44999,-63.44871775,1,1.2,1.2,1,1.2
45005.49999,-63.4381846,1,1.2,1.2,1,1.2
45005.54999,-63.42759107,1,1.2,1.2,1,1.2
45005.59999,-63.41693649,1,1.2,1.2,1,1.2
45005.64999,-63.40622017,1,1.2,1.2,1,1.2
45005.69999,-63.39544143,1,1.2,1.2,1,1.2
45005.74999,-63.38459956,1,1.2,1.2,1,1.2
45005.79999,-63.37369386,1,1.2,1.2,1,1.2
45005.84999,-63.36272359,1,1.2,1.2,1,1.2
45005.89999,-63.35168801,1,1.2,1.2,1,1.2
