Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-72.83274885,1,1,0,1,1
45000.09999,-72.83200436,1,1,0,1,1
45000.14999,-72.83125646,1,1,0,1,1
45000.19999,-72.83050515,1,1,0,1,1
45000.24999,-72.82975044,1,1,0,1,1
45000.29999,-72.82899234,1,1,0,1,1
45000.34999,-72.82823086,1,1,0,1,1
45000.39999,-72.82746601,1,1,0,1,1
45000.44999,-72.82669779,1,1,0,1,1
45000.49999,-72.82592622,1,1,0,1,1
45000.54999,-72.8251513,1,1,0,1,1
45000.59999,-72.82437304,1,1,0,1,1
45000.64999,-72.82359144,1,1,0,1,1
45000.69999,-72.82280653,1,1,0,1,1
45000.74999,-72.8220183,1,1,0,1,1
45000.79999,-72.82122677,1,1,0,1,1
45000.84999,-72.82043194,1,1,0,1,1
45000.89999,-72.81963382,1,1,0,1,1
45000.94999,-72.81883242,1,1,0,1,1
45000.99999,-72.81802775,1,1,0,1,1
45001.04999,-72.81721981,1,1,0,1,1
45001.09999,-72.81640862,1,1,0,1,1
45001.14999,-72.81559418,1,1,0,1,1
45001.19999,-72.8147765,1,1,0,1,1
45001.24999,-72.81395559,1,1,0,1,1
45001.29999,-72.81313146,1,1,0,1,1
45001.34999,-72.81230411,1,1,0,1,1
45001.39999,-72.81147356,1,1,0,1,1
45001.44999,-72.8106398,1,1,0,1,1
45001.49999,-72.80980286,1,1,0,1,1
45001.54999,-72.80896274,1,1,0,1,1
45001.59999,-72.80811944,1,1,0,1,1
45001.64999,-72.80727297,1,1,0,1,1
45001.69999,-72.80642335,1,1,0,1,1
45001.74999,-72.80557058,1,1,0,1,1
45001.79999,-72.80471467,1,1,0,1,1
45001.84999,-72.80385562,1,1,0,1,1
45001.89999,-72.80299344,1,1,0,1,1
45001.94999,-72.80212815,1,1,0,1,1
45001.99999,-72.80125975,1,1,0,1,1
45002.04999,-72.80038825,1,1,0,1,1
45002.09999,-72.79951365,1,1,0,1,1
45002.14999,-72.79863596,1,1,0,1,1
45002.19999,-72.7977552,1,1,0,1,1
45002.24999,-72.79687137,1,1,0,1,1
45002.29999,-72.79598447,1,1,0,1,1
45002.34999,-72.79509452,1,1,0,1,1
45002.39999,-72.79420152,1,1,0,1,1
45002.44999,-72.79330548,1,1,0,1,1
45002.49999,-72.79240642,1,1,0,1,1
45002.54999,-72.79150432,1,1,0,1,1
45002.59999,-72.79059921,1,1,0,1,1
45002.64999,-72.7896911,1,1,0,1,1
45002.69999,-72.78877998,1,1,0,1,1
45002.74999,-72.78786587,1,1,0,1,1
45002.79999,-72.78694877,1,1,0,1,1
45002.84999,-72.7860287,1,1,0,1,1
45002.89999,-72.78510565,1,1,0,1,1
45002.94999,-72.78417964,1,1,0,1,1
45002.99999,-72.78325068,1,1,0,1,1
45003.04999,-72.78231877,1,1,0,1,1
45003.09999,-72.78138392,1,1,0,1,1
45003.14999,-72.78044614,1,1,0,1,1
45003.19999,-72.77950544,1,1,0,1,1
45003.24999,-72.77856181,1,1,0,1,1
