Column1,Column2,ICaL,IK1,IKr,IKur,INa
45000.04999,-73.8823338,1,1,1,1,1.8
45000.09999,-73.883493,1,1,1,1,1.8
45000.14999,-73.88464182,1,1,1,1,1.8
45000.19999,-73.88578027,1,1,1,1,1.8
45000.24999,-73.88690839,1,1,1,1,1.8
45000.29999,-73.88802623,1,1,1,1,1.8
45000.34999,-73.88913381,1,1,1,1,1.8
45000.39999,-73.89023117,1,1,1,1,1.8
45000.44999,-73.89131834,1,1,1,1,1.8
45000.49999,-73.89239536,1,1,1,1,1.8
45000.54999,-73.89346226,1,1,1,1,1.8
45000.59999,-73.89451907,1,1,1,1,1.8
45000.64999,-73.89556584,1,1,1,1,1.8
45000.69999,-73.89660258,1,1,1,1,1.8
45000.74999,-73.89762934,1,1,1,1,1.8
45000.79999,-73.89864615,1,1,1,1,1.8
45000.84999,-73.89965305,1,1,1,1,1.8
45000.89999,-73.90065006,1,1,1,1,1.8
45000.94999,-73.90163722,1,1,1,1,1.8
45000.99999,-73.90261456,1,1,1,1,1.8
45001.04999,-73.90358212,1,1,1,1,1.8
45001.09999,-73.90453992,1,1,1,1,1.8
45001.14999,-73.90548801,1,1,1,1,1.8
45001.19999,-73.9064264,1,1,1,1,1.8
45001.24999,-73.90735515,1,1,1,1,1.8
45001.29999,-73.90827427,1,1,1,1,1.8
45001.34999,-73.9091838,1,1,1,1,1.8
45001.39999,-73.91008378,1,1,1,1,1.8
45001.44999,-73.91097423,1,1,1,1,1.8
45001.49999,-73.91185518,1,1,1,1,1.8
45001.54999,-73.91272667,1,1,1,1,1.8
45001.59999,-73.91358874,1,1,1,1,1.8
45001.64999,-73.9144414,1,1,1,1,1.8
45001.69999,-73.9152847,1,1,1,1,1.8
45001.74999,-73.91611866,1,1,1,1,1.8
45001.79999,-73.91694331,1,1,1,1,1.8
45001.84999,-73.91775869,1,1,1,1,1.8
45001.89999,-73.91856483,1,1,1,1,1.8
45001.94999,-73.91936176,1,1,1,1,1.8
45001.99999,-73.9201495,1,1,1,1,1.8
45002.04999,-73.9209281,1,1,1,1,1.8
45002.09999,-73.92169757,1,1,1,1,1.8
45002.14999,-73.92245796,1,1,1,1,1.8
45002.19999,-73.92320929,1,1,1,1,1.8
45002.24999,-73.92395158,1,1,1,1,1.8
45002.29999,-73.92468488,1,1,1,1,1.8
45002.34999,-73.92540922,1,1,1,1,1.8
45002.39999,-73.92612461,1,1,1,1,1.8
45002.44999,-73.92683109,1,1,1,1,1.8
45002.49999,-73.9275287,1,1,1,1,1.8
45002.54999,-73.92821745,1,1,1,1,1.8
45002.59999,-73.92889739,1,1,1,1,1.8
45002.64999,-73.92956854,1,1,1,1,1.8
45002.69999,-73.93023092,1,1,1,1,1.8
45002.74999,-73.93088457,1,1,1,1,1.8
45002.79999,-73.93152952,1,1,1,1,1.8
45002.84999,-73.9321658,1,1,1,1,1.8
45002.89999,-73.93279343,1,1,1,1,1.8
45002.94999,-73.93341245,1,1,1,1,1.8
45002.99999,-73.93402288,1,1,1,1,1.8
45003.04999,-73.93462475,1,1,1,1,1.8
